75:	test: 0.8016323	best: 0.8016323 (75)	total: 2.23s	remaining: 27.1s
76:	test: 0.8016628	best: 0.8016628 (76)	total: 2.25s	remaining: 27s
77:	test: 0.8017012	best: 0.8017012 (77)	total: 2.28s	remaining: 27s
78:	test: 0.8017172	best: 0.8017172 (78)	total: 2.31s	remaining: 26.9s
79:	test: 0.8017698	best: 0.8017698 (79)	total: 2.34s	remaining: 26.9s
80:	test: 0.8017803	best: 0.8017803 (80)	total: 2.37s	remaining: 26.9s
81:	test: 0.8017817	best: 0.8017817 (81)	total: 2.4s	remaining: 26.9s
82:	test: 0.8018322	best: 0.8018322 (82)	total: 2.43s	remaining: 26.9s
83:	test: 0.8018478	best: 0.8018478 (83)	total: 2.46s	remaining: 26.8s
84:	test: 0.8018796	best: 0.8018796 (84)	total: 2.49s	remaining: 26.8s
85:	test: 0.8018884	best: 0.8018884 (85)	total: 2.52s	remaining: 26.8s
86:	test: 0.8019074	best: 0.8019074 (86)	total: 2.55s	remaining: 26.8s
87:	test: 0.8019438	best: 0.8019438 (87)	total: 2.58s	remaining: 26.7s
88:	test: 0.8019528	best: 0.8019528 (88)	total: 2.61s	remaining: 26.7s
89:	test: 0.8019711	best: 0.8019711 (89)	total: 2.64s	remaining: 26.7s
90:	test: 0.8019855	best: 0.8019855 (90)	total: 2.67s	remaining: 26.7s
91:	test: 0.8019984	best: 0.8019984 (91)	total: 2.69s	remaining: 26.6s
92:	test: 0.8020312	best: 0.8020312 (92)	total: 2.72s	remaining: 26.6s
93:	test: 0.8020866	best: 0.8020866 (93)	total: 2.75s	remaining: 26.5s
94:	test: 0.8021278	best: 0.8021278 (94)	total: 2.78s	remaining: 26.5s
95:	test: 0.8021483	best: 0.8021483 (95)	total: 2.8s	remaining: 26.4s
96:	test: 0.8021994	best: 0.8021994 (96)	total: 2.83s	remaining: 26.4s
97:	test: 0.8021380	best: 0.8021994 (96)	total: 2.86s	remaining: 26.3s
98:	test: 0.8021513	best: 0.8021994 (96)	total: 2.88s	remaining: 26.2s
99:	test: 0.8021568	best: 0.8021994 (96)	total: 2.91s	remaining: 26.2s
100:	test: 0.8022340	best: 0.8022340 (100)	total: 2.94s	remaining: 26.2s
101:	test: 0.8022175	best: 0.8022340 (100)	total: 2.97s	remaining: 26.1s
102:	test: 0.8022311	best: 0.8022340 (100)	total: 3s	remaining: 26.1s
103:	test: 0.8022086	best: 0.8022340 (100)	total: 3.03s	remaining: 26.1s
104:	test: 0.8022187	best: 0.8022340 (100)	total: 3.06s	remaining: 26.1s
105:	test: 0.8023035	best: 0.8023035 (105)	total: 3.08s	remaining: 26s
106:	test: 0.8022923	best: 0.8023035 (105)	total: 3.11s	remaining: 26s
107:	test: 0.8023548	best: 0.8023548 (107)	total: 3.14s	remaining: 25.9s
108:	test: 0.8023693	best: 0.8023693 (108)	total: 3.17s	remaining: 25.9s
109:	test: 0.8023687	best: 0.8023693 (108)	total: 3.19s	remaining: 25.8s
110:	test: 0.8023688	best: 0.8023693 (108)	total: 3.21s	remaining: 25.7s
111:	test: 0.8023884	best: 0.8023884 (111)	total: 3.24s	remaining: 25.7s
112:	test: 0.8024042	best: 0.8024042 (112)	total: 3.27s	remaining: 25.7s
113:	test: 0.8024208	best: 0.8024208 (113)	total: 3.29s	remaining: 25.6s
114:	test: 0.8024270	best: 0.8024270 (114)	total: 3.32s	remaining: 25.6s
115:	test: 0.8024433	best: 0.8024433 (115)	total: 3.35s	remaining: 25.5s
116:	test: 0.8024651	best: 0.8024651 (116)	total: 3.38s	remaining: 25.5s
117:	test: 0.8024748	best: 0.8024748 (117)	total: 3.4s	remaining: 25.4s
118:	test: 0.8024871	best: 0.8024871 (118)	total: 3.43s	remaining: 25.4s
119:	test: 0.8025686	best: 0.8025686 (119)	total: 3.46s	remaining: 25.4s
120:	test: 0.8026037	best: 0.8026037 (120)	total: 3.49s	remaining: 25.3s
121:	test: 0.8026128	best: 0.8026128 (121)	total: 3.51s	remaining: 25.3s
122:	test: 0.8026315	best: 0.8026315 (122)	total: 3.54s	remaining: 25.2s
123:	test: 0.8026241	best: 0.8026315 (122)	total: 3.56s	remaining: 25.2s
124:	test: 0.8026501	best: 0.8026501 (124)	total: 3.59s	remaining: 25.1s
125:	test: 0.8026762	best: 0.8026762 (125)	total: 3.62s	remaining: 25.1s
126:	test: 0.8026402	best: 0.8026762 (125)	total: 3.65s	remaining: 25.1s
127:	test: 0.8026346	best: 0.8026762 (125)	total: 3.68s	remaining: 25.1s
128:	test: 0.8026421	best: 0.8026762 (125)	total: 3.71s	remaining: 25.1s
129:	test: 0.8026477	best: 0.8026762 (125)	total: 3.74s	remaining: 25s
130:	test: 0.8027031	best: 0.8027031 (130)	total: 3.77s	remaining: 25s
131:	test: 0.8027357	best: 0.8027357 (131)	total: 3.8s	remaining: 25s
132:	test: 0.8027521	best: 0.8027521 (132)	total: 3.83s	remaining: 24.9s
133:	test: 0.8027728	best: 0.8027728 (133)	total: 3.85s	remaining: 24.9s
134:	test: 0.8027728	best: 0.8027728 (134)	total: 3.88s	remaining: 24.8s
135:	test: 0.8028108	best: 0.8028108 (135)	total: 3.91s	remaining: 24.8s
136:	test: 0.8027893	best: 0.8028108 (135)	total: 3.94s	remaining: 24.8s
137:	test: 0.8027884	best: 0.8028108 (135)	total: 3.96s	remaining: 24.8s
138:	test: 0.8028010	best: 0.8028108 (135)	total: 4s	remaining: 24.8s
139:	test: 0.8027930	best: 0.8028108 (135)	total: 4.03s	remaining: 24.7s
140:	test: 0.8028220	best: 0.8028220 (140)	total: 4.06s	remaining: 24.7s
141:	test: 0.8028725	best: 0.8028725 (141)	total: 4.08s	remaining: 24.7s
142:	test: 0.8028610	best: 0.8028725 (141)	total: 4.11s	remaining: 24.6s
143:	test: 0.8028624	best: 0.8028725 (141)	total: 4.14s	remaining: 24.6s
144:	test: 0.8028641	best: 0.8028725 (141)	total: 4.17s	remaining: 24.6s
145:	test: 0.8028625	best: 0.8028725 (141)	total: 4.19s	remaining: 24.5s
