75:	test: 0.9373645	best: 0.9373645 (75)	total: 487ms	remaining: 5.92s
76:	test: 0.9375052	best: 0.9375052 (76)	total: 492ms	remaining: 5.9s
77:	test: 0.9375699	best: 0.9375699 (77)	total: 496ms	remaining: 5.87s
78:	test: 0.9376309	best: 0.9376309 (78)	total: 502ms	remaining: 5.85s
79:	test: 0.9377181	best: 0.9377181 (79)	total: 506ms	remaining: 5.82s
80:	test: 0.9377321	best: 0.9377321 (80)	total: 510ms	remaining: 5.79s
81:	test: 0.9377983	best: 0.9377983 (81)	total: 516ms	remaining: 5.78s
82:	test: 0.9378767	best: 0.9378767 (82)	total: 521ms	remaining: 5.75s
83:	test: 0.9379892	best: 0.9379892 (83)	total: 525ms	remaining: 5.73s
84:	test: 0.9380568	best: 0.9380568 (84)	total: 531ms	remaining: 5.72s
85:	test: 0.9381535	best: 0.9381535 (85)	total: 538ms	remaining: 5.72s
86:	test: 0.9382574	best: 0.9382574 (86)	total: 544ms	remaining: 5.71s
87:	test: 0.9382891	best: 0.9382891 (87)	total: 549ms	remaining: 5.69s
88:	test: 0.9382576	best: 0.9382891 (87)	total: 554ms	remaining: 5.67s
89:	test: 0.9383109	best: 0.9383109 (89)	total: 559ms	remaining: 5.65s
90:	test: 0.9383846	best: 0.9383846 (90)	total: 563ms	remaining: 5.62s
91:	test: 0.9384367	best: 0.9384367 (91)	total: 568ms	remaining: 5.6s
92:	test: 0.9385151	best: 0.9385151 (92)	total: 572ms	remaining: 5.58s
93:	test: 0.9386294	best: 0.9386294 (93)	total: 577ms	remaining: 5.56s
94:	test: 0.9386570	best: 0.9386570 (94)	total: 582ms	remaining: 5.54s
95:	test: 0.9387439	best: 0.9387439 (95)	total: 586ms	remaining: 5.52s
96:	test: 0.9387432	best: 0.9387439 (95)	total: 591ms	remaining: 5.5s
97:	test: 0.9387827	best: 0.9387827 (97)	total: 596ms	remaining: 5.49s
98:	test: 0.9387870	best: 0.9387870 (98)	total: 600ms	remaining: 5.46s
99:	test: 0.9388044	best: 0.9388044 (99)	total: 605ms	remaining: 5.45s
100:	test: 0.9388212	best: 0.9388212 (100)	total: 610ms	remaining: 5.43s
101:	test: 0.9389084	best: 0.9389084 (101)	total: 615ms	remaining: 5.41s
102:	test: 0.9390246	best: 0.9390246 (102)	total: 620ms	remaining: 5.4s
103:	test: 0.9390623	best: 0.9390623 (103)	total: 626ms	remaining: 5.39s
104:	test: 0.9391114	best: 0.9391114 (104)	total: 630ms	remaining: 5.37s
105:	test: 0.9391434	best: 0.9391434 (105)	total: 635ms	remaining: 5.36s
106:	test: 0.9391674	best: 0.9391674 (106)	total: 642ms	remaining: 5.36s
107:	test: 0.9392537	best: 0.9392537 (107)	total: 649ms	remaining: 5.36s
108:	test: 0.9392286	best: 0.9392537 (107)	total: 654ms	remaining: 5.34s
109:	test: 0.9392825	best: 0.9392825 (109)	total: 659ms	remaining: 5.33s
110:	test: 0.9392648	best: 0.9392825 (109)	total: 664ms	remaining: 5.32s
111:	test: 0.9394057	best: 0.9394057 (111)	total: 669ms	remaining: 5.3s
112:	test: 0.9394536	best: 0.9394536 (112)	total: 674ms	remaining: 5.29s
113:	test: 0.9395086	best: 0.9395086 (113)	total: 679ms	remaining: 5.28s
114:	test: 0.9395356	best: 0.9395356 (114)	total: 684ms	remaining: 5.26s
115:	test: 0.9395763	best: 0.9395763 (115)	total: 689ms	remaining: 5.25s
116:	test: 0.9395766	best: 0.9395766 (116)	total: 694ms	remaining: 5.24s
117:	test: 0.9396034	best: 0.9396034 (117)	total: 700ms	remaining: 5.23s
118:	test: 0.9396850	best: 0.9396850 (118)	total: 705ms	remaining: 5.22s
119:	test: 0.9396940	best: 0.9396940 (119)	total: 709ms	remaining: 5.2s
120:	test: 0.9397516	best: 0.9397516 (120)	total: 714ms	remaining: 5.19s
121:	test: 0.9397750	best: 0.9397750 (121)	total: 719ms	remaining: 5.18s
122:	test: 0.9397765	best: 0.9397765 (122)	total: 724ms	remaining: 5.16s
123:	test: 0.9397951	best: 0.9397951 (123)	total: 728ms	remaining: 5.14s
124:	test: 0.9397916	best: 0.9397951 (123)	total: 733ms	remaining: 5.13s
125:	test: 0.9397921	best: 0.9397951 (123)	total: 738ms	remaining: 5.12s
126:	test: 0.9397979	best: 0.9397979 (126)	total: 742ms	remaining: 5.1s
127:	test: 0.9397962	best: 0.9397979 (126)	total: 747ms	remaining: 5.09s
128:	test: 0.9398458	best: 0.9398458 (128)	total: 752ms	remaining: 5.08s
129:	test: 0.9398485	best: 0.9398485 (129)	total: 757ms	remaining: 5.06s
130:	test: 0.9398988	best: 0.9398988 (130)	total: 762ms	remaining: 5.06s
131:	test: 0.9399024	best: 0.9399024 (131)	total: 767ms	remaining: 5.04s
132:	test: 0.9399964	best: 0.9399964 (132)	total: 771ms	remaining: 5.03s
133:	test: 0.9400519	best: 0.9400519 (133)	total: 776ms	remaining: 5.02s
134:	test: 0.9400558	best: 0.9400558 (134)	total: 781ms	remaining: 5s
135:	test: 0.9400787	best: 0.9400787 (135)	total: 785ms	remaining: 4.99s
136:	test: 0.9401643	best: 0.9401643 (136)	total: 792ms	remaining: 4.99s
137:	test: 0.9401713	best: 0.9401713 (137)	total: 797ms	remaining: 4.98s
138:	test: 0.9401784	best: 0.9401784 (138)	total: 802ms	remaining: 4.96s
139:	test: 0.9402143	best: 0.9402143 (139)	total: 806ms	remaining: 4.95s
140:	test: 0.9402366	best: 0.9402366 (140)	total: 812ms	remaining: 4.94s
141:	test: 0.9402378	best: 0.9402378 (141)	total: 817ms	remaining: 4.94s
142:	test: 0.9402966	best: 0.9402966 (142)	total: 821ms	remaining: 4.92s
143:	test: 0.9403238	best: 0.9403238 (143)	total: 826ms	remaining: 4.91s
144:	test: 0.9403280	best: 0.9403280 (144)	total: 831ms	remaining: 4.9s
145:	test: 0.9404209	best: 0.9404209 (145)	total: 837ms	remaining: 4.89s
146:	test: 0.9404238	best: 0.9404238 (146)	total: 842ms	remaining: 4.88s
147:	test: 0.9404214	best: 0.9404238 (146)	total: 846ms	remaining: 4.87s
148:	test: 0.9404846	best: 0.9404846 (148)	total: 851ms	remaining: 4.86s
149:	test: 0.9405454	best: 0.9405454 (149)	total: 858ms	remaining: 4.86s
150:	test: 0.9405418	best: 0.9405454 (149)	total: 862ms	remaining: 4.85s
151:	test: 0.9405449	best: 0.9405454 (149)	total: 867ms	remaining: 4.84s
152:	test: 0.9407242	best: 0.9407242 (152)	total: 872ms	remaining: 4.83s
153:	test: 0.9407746	best: 0.9407746 (153)	total: 877ms	remaining: 4.82s
154:	test: 0.9407716	best: 0.9407746 (153)	total: 882ms	remaining: 4.8s
155:	test: 0.9407909	best: 0.9407909 (155)	total: 886ms	remaining: 4.79s
156:	test: 0.9408594	best: 0.9408594 (156)	total: 890ms	remaining: 4.78s
157:	test: 0.9409614	best: 0.9409614 (157)	total: 897ms	remaining: 4.78s
158:	test: 0.9409636	best: 0.9409636 (158)	total: 901ms	remaining: 4.76s
159:	test: 0.9409954	best: 0.9409954 (159)	total: 906ms	remaining: 4.75s
160:	test: 0.9410397	best: 0.9410397 (160)	total: 910ms	remaining: 4.74s
161:	test: 0.9411134	best: 0.9411134 (161)	total: 914ms	remaining: 4.73s
