75:	test: 0.8006407	best: 0.8006407 (75)	total: 2.03s	remaining: 24.7s
76:	test: 0.8006478	best: 0.8006478 (76)	total: 2.06s	remaining: 24.7s
77:	test: 0.8006660	best: 0.8006660 (77)	total: 2.08s	remaining: 24.6s
78:	test: 0.8007466	best: 0.8007466 (78)	total: 2.1s	remaining: 24.6s
79:	test: 0.8008269	best: 0.8008269 (79)	total: 2.13s	remaining: 24.5s
80:	test: 0.8008326	best: 0.8008326 (80)	total: 2.15s	remaining: 24.5s
81:	test: 0.8009362	best: 0.8009362 (81)	total: 2.18s	remaining: 24.4s
82:	test: 0.8009387	best: 0.8009387 (82)	total: 2.21s	remaining: 24.4s
83:	test: 0.8009669	best: 0.8009669 (83)	total: 2.23s	remaining: 24.3s
84:	test: 0.8010151	best: 0.8010151 (84)	total: 2.25s	remaining: 24.3s
85:	test: 0.8010787	best: 0.8010787 (85)	total: 2.28s	remaining: 24.2s
86:	test: 0.8011286	best: 0.8011286 (86)	total: 2.3s	remaining: 24.2s
87:	test: 0.8011590	best: 0.8011590 (87)	total: 2.33s	remaining: 24.1s
88:	test: 0.8011613	best: 0.8011613 (88)	total: 2.35s	remaining: 24.1s
89:	test: 0.8011763	best: 0.8011763 (89)	total: 2.38s	remaining: 24s
90:	test: 0.8012164	best: 0.8012164 (90)	total: 2.4s	remaining: 24s
91:	test: 0.8012040	best: 0.8012164 (90)	total: 2.43s	remaining: 24s
92:	test: 0.8012520	best: 0.8012520 (92)	total: 2.46s	remaining: 24s
93:	test: 0.8012850	best: 0.8012850 (93)	total: 2.48s	remaining: 23.9s
94:	test: 0.8013218	best: 0.8013218 (94)	total: 2.51s	remaining: 23.9s
95:	test: 0.8013951	best: 0.8013951 (95)	total: 2.53s	remaining: 23.8s
96:	test: 0.8014808	best: 0.8014808 (96)	total: 2.57s	remaining: 23.9s
97:	test: 0.8015378	best: 0.8015378 (97)	total: 2.6s	remaining: 23.9s
98:	test: 0.8015747	best: 0.8015747 (98)	total: 2.62s	remaining: 23.9s
99:	test: 0.8016149	best: 0.8016149 (99)	total: 2.65s	remaining: 23.8s
100:	test: 0.8016491	best: 0.8016491 (100)	total: 2.67s	remaining: 23.8s
101:	test: 0.8016600	best: 0.8016600 (101)	total: 2.69s	remaining: 23.7s
102:	test: 0.8016276	best: 0.8016600 (101)	total: 2.72s	remaining: 23.7s
103:	test: 0.8016493	best: 0.8016600 (101)	total: 2.74s	remaining: 23.6s
104:	test: 0.8017451	best: 0.8017451 (104)	total: 2.77s	remaining: 23.6s
105:	test: 0.8017649	best: 0.8017649 (105)	total: 2.79s	remaining: 23.5s
106:	test: 0.8018491	best: 0.8018491 (106)	total: 2.81s	remaining: 23.5s
107:	test: 0.8018399	best: 0.8018491 (106)	total: 2.84s	remaining: 23.5s
108:	test: 0.8018567	best: 0.8018567 (108)	total: 2.86s	remaining: 23.4s
109:	test: 0.8019061	best: 0.8019061 (109)	total: 2.89s	remaining: 23.4s
110:	test: 0.8019277	best: 0.8019277 (110)	total: 2.91s	remaining: 23.3s
111:	test: 0.8019372	best: 0.8019372 (111)	total: 2.94s	remaining: 23.3s
112:	test: 0.8019367	best: 0.8019372 (111)	total: 2.96s	remaining: 23.2s
113:	test: 0.8019700	best: 0.8019700 (113)	total: 2.98s	remaining: 23.2s
114:	test: 0.8020013	best: 0.8020013 (114)	total: 3s	remaining: 23.1s
115:	test: 0.8020326	best: 0.8020326 (115)	total: 3.03s	remaining: 23.1s
116:	test: 0.8020945	best: 0.8020945 (116)	total: 3.06s	remaining: 23.1s
117:	test: 0.8020986	best: 0.8020986 (117)	total: 3.08s	remaining: 23s
118:	test: 0.8021221	best: 0.8021221 (118)	total: 3.1s	remaining: 23s
119:	test: 0.8021481	best: 0.8021481 (119)	total: 3.13s	remaining: 22.9s
120:	test: 0.8021409	best: 0.8021481 (119)	total: 3.15s	remaining: 22.9s
121:	test: 0.8021530	best: 0.8021530 (121)	total: 3.17s	remaining: 22.8s
122:	test: 0.8021702	best: 0.8021702 (122)	total: 3.2s	remaining: 22.8s
123:	test: 0.8021790	best: 0.8021790 (123)	total: 3.22s	remaining: 22.8s
124:	test: 0.8021907	best: 0.8021907 (124)	total: 3.25s	remaining: 22.7s
125:	test: 0.8021960	best: 0.8021960 (125)	total: 3.27s	remaining: 22.7s
126:	test: 0.8021870	best: 0.8021960 (125)	total: 3.29s	remaining: 22.6s
127:	test: 0.8022049	best: 0.8022049 (127)	total: 3.32s	remaining: 22.6s
128:	test: 0.8022340	best: 0.8022340 (128)	total: 3.34s	remaining: 22.6s
129:	test: 0.8022599	best: 0.8022599 (129)	total: 3.37s	remaining: 22.5s
130:	test: 0.8022887	best: 0.8022887 (130)	total: 3.39s	remaining: 22.5s
131:	test: 0.8022933	best: 0.8022933 (131)	total: 3.42s	remaining: 22.5s
132:	test: 0.8023227	best: 0.8023227 (132)	total: 3.44s	remaining: 22.4s
