72:	test: 0.8026211	best: 0.8026522 (70)	total: 5.93s	remaining: 1m 15s
73:	test: 0.8026358	best: 0.8026522 (70)	total: 6.01s	remaining: 1m 15s
74:	test: 0.8026452	best: 0.8026522 (70)	total: 6.09s	remaining: 1m 15s
75:	test: 0.8026791	best: 0.8026791 (75)	total: 6.17s	remaining: 1m 15s
76:	test: 0.8027078	best: 0.8027078 (76)	total: 6.25s	remaining: 1m 14s
77:	test: 0.8027443	best: 0.8027443 (77)	total: 6.33s	remaining: 1m 14s
78:	test: 0.8027605	best: 0.8027605 (78)	total: 6.41s	remaining: 1m 14s
79:	test: 0.8027952	best: 0.8027952 (79)	total: 6.49s	remaining: 1m 14s
80:	test: 0.8027915	best: 0.8027952 (79)	total: 6.57s	remaining: 1m 14s
81:	test: 0.8027699	best: 0.8027952 (79)	total: 6.66s	remaining: 1m 14s
82:	test: 0.8027821	best: 0.8027952 (79)	total: 6.74s	remaining: 1m 14s
83:	test: 0.8028087	best: 0.8028087 (83)	total: 6.82s	remaining: 1m 14s
84:	test: 0.8028341	best: 0.8028341 (84)	total: 6.9s	remaining: 1m 14s
85:	test: 0.8028518	best: 0.8028518 (85)	total: 6.98s	remaining: 1m 14s
86:	test: 0.8028478	best: 0.8028518 (85)	total: 7.07s	remaining: 1m 14s
87:	test: 0.8028407	best: 0.8028518 (85)	total: 7.15s	remaining: 1m 14s
88:	test: 0.8028453	best: 0.8028518 (85)	total: 7.23s	remaining: 1m 14s
89:	test: 0.8028703	best: 0.8028703 (89)	total: 7.32s	remaining: 1m 13s
90:	test: 0.8028845	best: 0.8028845 (90)	total: 7.4s	remaining: 1m 13s
91:	test: 0.8029190	best: 0.8029190 (91)	total: 7.48s	remaining: 1m 13s
92:	test: 0.8029215	best: 0.8029215 (92)	total: 7.56s	remaining: 1m 13s
93:	test: 0.8029353	best: 0.8029353 (93)	total: 7.62s	remaining: 1m 13s
94:	test: 0.8029274	best: 0.8029353 (93)	total: 7.66s	remaining: 1m 13s
95:	test: 0.8029240	best: 0.8029353 (93)	total: 7.75s	remaining: 1m 12s
96:	test: 0.8029869	best: 0.8029869 (96)	total: 7.83s	remaining: 1m 12s
97:	test: 0.8029841	best: 0.8029869 (96)	total: 7.91s	remaining: 1m 12s
98:	test: 0.8030050	best: 0.8030050 (98)	total: 8s	remaining: 1m 12s
99:	test: 0.8030288	best: 0.8030288 (99)	total: 8.08s	remaining: 1m 12s
100:	test: 0.8030370	best: 0.8030370 (100)	total: 8.17s	remaining: 1m 12s
101:	test: 0.8030448	best: 0.8030448 (101)	total: 8.26s	remaining: 1m 12s
102:	test: 0.8030567	best: 0.8030567 (102)	total: 8.34s	remaining: 1m 12s
103:	test: 0.8030641	best: 0.8030641 (103)	total: 8.42s	remaining: 1m 12s
104:	test: 0.8030885	best: 0.8030885 (104)	total: 8.5s	remaining: 1m 12s
105:	test: 0.8031177	best: 0.8031177 (105)	total: 8.58s	remaining: 1m 12s
106:	test: 0.8031177	best: 0.8031177 (106)	total: 8.61s	remaining: 1m 11s
107:	test: 0.8030990	best: 0.8031177 (106)	total: 8.69s	remaining: 1m 11s
108:	test: 0.8031009	best: 0.8031177 (106)	total: 8.77s	remaining: 1m 11s
109:	test: 0.8030953	best: 0.8031177 (106)	total: 8.85s	remaining: 1m 11s
110:	test: 0.8030885	best: 0.8031177 (106)	total: 8.93s	remaining: 1m 11s
111:	test: 0.8031224	best: 0.8031224 (111)	total: 9.02s	remaining: 1m 11s
112:	test: 0.8031216	best: 0.8031224 (111)	total: 9.1s	remaining: 1m 11s
113:	test: 0.8031125	best: 0.8031224 (111)	total: 9.19s	remaining: 1m 11s
114:	test: 0.8031295	best: 0.8031295 (114)	total: 9.27s	remaining: 1m 11s
115:	test: 0.8031295	best: 0.8031295 (115)	total: 9.29s	remaining: 1m 10s
116:	test: 0.8031416	best: 0.8031416 (116)	total: 9.38s	remaining: 1m 10s
117:	test: 0.8031826	best: 0.8031826 (117)	total: 9.46s	remaining: 1m 10s
118:	test: 0.8032131	best: 0.8032131 (118)	total: 9.54s	remaining: 1m 10s
119:	test: 0.8032447	best: 0.8032447 (119)	total: 9.62s	remaining: 1m 10s
120:	test: 0.8032564	best: 0.8032564 (120)	total: 9.7s	remaining: 1m 10s
121:	test: 0.8032757	best: 0.8032757 (121)	total: 9.79s	remaining: 1m 10s
