76:	test: 0.9478163	best: 0.9478163 (76)	total: 1.22s	remaining: 14.6s
77:	test: 0.9478252	best: 0.9478252 (77)	total: 1.23s	remaining: 14.6s
78:	test: 0.9478264	best: 0.9478264 (78)	total: 1.25s	remaining: 14.6s
79:	test: 0.9478537	best: 0.9478537 (79)	total: 1.26s	remaining: 14.5s
80:	test: 0.9478965	best: 0.9478965 (80)	total: 1.27s	remaining: 14.5s
81:	test: 0.9479325	best: 0.9479325 (81)	total: 1.29s	remaining: 14.4s
82:	test: 0.9479572	best: 0.9479572 (82)	total: 1.3s	remaining: 14.4s
83:	test: 0.9479731	best: 0.9479731 (83)	total: 1.32s	remaining: 14.4s
84:	test: 0.9479873	best: 0.9479873 (84)	total: 1.33s	remaining: 14.3s
85:	test: 0.9479940	best: 0.9479940 (85)	total: 1.34s	remaining: 14.2s
86:	test: 0.9479991	best: 0.9479991 (86)	total: 1.35s	remaining: 14.2s
87:	test: 0.9480414	best: 0.9480414 (87)	total: 1.36s	remaining: 14.1s
88:	test: 0.9480835	best: 0.9480835 (88)	total: 1.38s	remaining: 14.1s
89:	test: 0.9481198	best: 0.9481198 (89)	total: 1.39s	remaining: 14.1s
90:	test: 0.9481321	best: 0.9481321 (90)	total: 1.41s	remaining: 14s
91:	test: 0.9481474	best: 0.9481474 (91)	total: 1.42s	remaining: 14s
92:	test: 0.9481641	best: 0.9481641 (92)	total: 1.43s	remaining: 14s
93:	test: 0.9481828	best: 0.9481828 (93)	total: 1.44s	remaining: 13.9s
94:	test: 0.9481986	best: 0.9481986 (94)	total: 1.46s	remaining: 13.9s
95:	test: 0.9482029	best: 0.9482029 (95)	total: 1.47s	remaining: 13.8s
96:	test: 0.9482013	best: 0.9482029 (95)	total: 1.48s	remaining: 13.8s
97:	test: 0.9482301	best: 0.9482301 (97)	total: 1.5s	remaining: 13.8s
98:	test: 0.9482397	best: 0.9482397 (98)	total: 1.51s	remaining: 13.7s
99:	test: 0.9482547	best: 0.9482547 (99)	total: 1.53s	remaining: 13.7s
100:	test: 0.9482681	best: 0.9482681 (100)	total: 1.54s	remaining: 13.7s
101:	test: 0.9482766	best: 0.9482766 (101)	total: 1.55s	remaining: 13.7s
102:	test: 0.9482997	best: 0.9482997 (102)	total: 1.57s	remaining: 13.7s
103:	test: 0.9482980	best: 0.9482997 (102)	total: 1.59s	remaining: 13.7s
104:	test: 0.9483020	best: 0.9483020 (104)	total: 1.6s	remaining: 13.7s
105:	test: 0.9483133	best: 0.9483133 (105)	total: 1.61s	remaining: 13.6s
106:	test: 0.9483118	best: 0.9483133 (105)	total: 1.63s	remaining: 13.6s
107:	test: 0.9483113	best: 0.9483133 (105)	total: 1.64s	remaining: 13.5s
108:	test: 0.9483130	best: 0.9483133 (105)	total: 1.65s	remaining: 13.5s
109:	test: 0.9483141	best: 0.9483141 (109)	total: 1.66s	remaining: 13.4s
110:	test: 0.9483177	best: 0.9483177 (110)	total: 1.67s	remaining: 13.4s
111:	test: 0.9483445	best: 0.9483445 (111)	total: 1.68s	remaining: 13.3s
112:	test: 0.9483552	best: 0.9483552 (112)	total: 1.69s	remaining: 13.3s
113:	test: 0.9483541	best: 0.9483552 (112)	total: 1.7s	remaining: 13.2s
114:	test: 0.9483789	best: 0.9483789 (114)	total: 1.71s	remaining: 13.2s
115:	test: 0.9483828	best: 0.9483828 (115)	total: 1.72s	remaining: 13.1s
116:	test: 0.9483971	best: 0.9483971 (116)	total: 1.73s	remaining: 13.1s
117:	test: 0.9484185	best: 0.9484185 (117)	total: 1.75s	remaining: 13s
118:	test: 0.9484292	best: 0.9484292 (118)	total: 1.76s	remaining: 13s
119:	test: 0.9484355	best: 0.9484355 (119)	total: 1.77s	remaining: 13s
120:	test: 0.9484582	best: 0.9484582 (120)	total: 1.78s	remaining: 12.9s
121:	test: 0.9484694	best: 0.9484694 (121)	total: 1.79s	remaining: 12.9s
122:	test: 0.9484769	best: 0.9484769 (122)	total: 1.8s	remaining: 12.8s
123:	test: 0.9485201	best: 0.9485201 (123)	total: 1.81s	remaining: 12.8s
124:	test: 0.9485353	best: 0.9485353 (124)	total: 1.82s	remaining: 12.8s
125:	test: 0.9485346	best: 0.9485353 (124)	total: 1.83s	remaining: 12.7s
126:	test: 0.9485667	best: 0.9485667 (126)	total: 1.84s	remaining: 12.7s
127:	test: 0.9485897	best: 0.9485897 (127)	total: 1.85s	remaining: 12.6s
128:	test: 0.9485979	best: 0.9485979 (128)	total: 1.87s	remaining: 12.6s
129:	test: 0.9486084	best: 0.9486084 (129)	total: 1.88s	remaining: 12.6s
130:	test: 0.9486243	best: 0.9486243 (130)	total: 1.89s	remaining: 12.5s
131:	test: 0.9486477	best: 0.9486477 (131)	total: 1.9s	remaining: 12.5s
132:	test: 0.9486447	best: 0.9486477 (131)	total: 1.91s	remaining: 12.4s
133:	test: 0.9486564	best: 0.9486564 (133)	total: 1.92s	remaining: 12.4s
134:	test: 0.9486605	best: 0.9486605 (134)	total: 1.93s	remaining: 12.4s
135:	test: 0.9486678	best: 0.9486678 (135)	total: 1.94s	remaining: 12.3s
136:	test: 0.9486716	best: 0.9486716 (136)	total: 1.96s	remaining: 12.3s
137:	test: 0.9486787	best: 0.9486787 (137)	total: 1.97s	remaining: 12.3s
138:	test: 0.9486769	best: 0.9486787 (137)	total: 1.98s	remaining: 12.3s
139:	test: 0.9486838	best: 0.9486838 (139)	total: 1.99s	remaining: 12.2s
140:	test: 0.9486941	best: 0.9486941 (140)	total: 2s	remaining: 12.2s
141:	test: 0.9487002	best: 0.9487002 (141)	total: 2.01s	remaining: 12.1s
142:	test: 0.9487077	best: 0.9487077 (142)	total: 2.02s	remaining: 12.1s
143:	test: 0.9487165	best: 0.9487165 (143)	total: 2.03s	remaining: 12.1s
144:	test: 0.9487266	best: 0.9487266 (144)	total: 2.04s	remaining: 12s
145:	test: 0.9487334	best: 0.9487334 (145)	total: 2.06s	remaining: 12s
146:	test: 0.9487536	best: 0.9487536 (146)	total: 2.06s	remaining: 12s
147:	test: 0.9487699	best: 0.9487699 (147)	total: 2.08s	remaining: 12s
148:	test: 0.9487777	best: 0.9487777 (148)	total: 2.09s	remaining: 11.9s
149:	test: 0.9487871	best: 0.9487871 (149)	total: 2.1s	remaining: 11.9s
150:	test: 0.9487847	best: 0.9487871 (149)	total: 2.11s	remaining: 11.9s
151:	test: 0.9487952	best: 0.9487952 (151)	total: 2.12s	remaining: 11.8s
152:	test: 0.9488000	best: 0.9488000 (152)	total: 2.13s	remaining: 11.8s
153:	test: 0.9488091	best: 0.9488091 (153)	total: 2.14s	remaining: 11.8s
154:	test: 0.9488072	best: 0.9488091 (153)	total: 2.16s	remaining: 11.8s
155:	test: 0.9488133	best: 0.9488133 (155)	total: 2.17s	remaining: 11.7s
156:	test: 0.9488144	best: 0.9488144 (156)	total: 2.18s	remaining: 11.7s
157:	test: 0.9488127	best: 0.9488144 (156)	total: 2.19s	remaining: 11.7s
158:	test: 0.9488231	best: 0.9488231 (158)	total: 2.21s	remaining: 11.7s
159:	test: 0.9488293	best: 0.9488293 (159)	total: 2.22s	remaining: 11.6s
160:	test: 0.9488285	best: 0.9488293 (159)	total: 2.23s	remaining: 11.6s
161:	test: 0.9488544	best: 0.9488544 (161)	total: 2.24s	remaining: 11.6s
162:	test: 0.9488563	best: 0.9488563 (162)	total: 2.25s	remaining: 11.5s
163:	test: 0.9488556	best: 0.9488563 (162)	total: 2.26s	remaining: 11.5s
164:	test: 0.9488617	best: 0.9488617 (164)	total: 2.27s	remaining: 11.5s
165:	test: 0.9488747	best: 0.9488747 (165)	total: 2.28s	remaining: 11.5s
166:	test: 0.9488953	best: 0.9488953 (166)	total: 2.29s	remaining: 11.4s
167:	test: 0.9489042	best: 0.9489042 (167)	total: 2.3s	remaining: 11.4s
168:	test: 0.9489274	best: 0.9489274 (168)	total: 2.31s	remaining: 11.4s
169:	test: 0.9489351	best: 0.9489351 (169)	total: 2.32s	remaining: 11.3s
170:	test: 0.9489395	best: 0.9489395 (170)	total: 2.34s	remaining: 11.3s
171:	test: 0.9489486	best: 0.9489486 (171)	total: 2.35s	remaining: 11.3s
172:	test: 0.9489587	best: 0.9489587 (172)	total: 2.36s	remaining: 11.3s
173:	test: 0.9489731	best: 0.9489731 (173)	total: 2.37s	remaining: 11.3s
174:	test: 0.9489672	best: 0.9489731 (173)	total: 2.38s	remaining: 11.2s
175:	test: 0.9489848	best: 0.9489848 (175)	total: 2.39s	remaining: 11.2s
176:	test: 0.9489960	best: 0.9489960 (176)	total: 2.41s	remaining: 11.2s
177:	test: 0.9489997	best: 0.9489997 (177)	total: 2.42s	remaining: 11.2s
178:	test: 0.9490045	best: 0.9490045 (178)	total: 2.43s	remaining: 11.1s
179:	test: 0.9489994	best: 0.9490045 (178)	total: 2.44s	remaining: 11.1s
180:	test: 0.9490274	best: 0.9490274 (180)	total: 2.45s	remaining: 11.1s
181:	test: 0.9490281	best: 0.9490281 (181)	total: 2.46s	remaining: 11.1s
182:	test: 0.9490412	best: 0.9490412 (182)	total: 2.47s	remaining: 11s
183:	test: 0.9490468	best: 0.9490468 (183)	total: 2.48s	remaining: 11s
184:	test: 0.9490540	best: 0.9490540 (184)	total: 2.49s	remaining: 11s
185:	test: 0.9490619	best: 0.9490619 (185)	total: 2.5s	remaining: 11s
186:	test: 0.9490658	best: 0.9490658 (186)	total: 2.52s	remaining: 10.9s
187:	test: 0.9490750	best: 0.9490750 (187)	total: 2.53s	remaining: 10.9s
188:	test: 0.9490762	best: 0.9490762 (188)	total: 2.54s	remaining: 10.9s
189:	test: 0.9490926	best: 0.9490926 (189)	total: 2.55s	remaining: 10.9s
190:	test: 0.9490935	best: 0.9490935 (190)	total: 2.56s	remaining: 10.8s
191:	test: 0.9490993	best: 0.9490993 (191)	total: 2.57s	remaining: 10.8s
192:	test: 0.9491420	best: 0.9491420 (192)	total: 2.58s	remaining: 10.8s
193:	test: 0.9491473	best: 0.9491473 (193)	total: 2.59s	remaining: 10.8s
194:	test: 0.9491590	best: 0.9491590 (194)	total: 2.6s	remaining: 10.7s
195:	test: 0.9491691	best: 0.9491691 (195)	total: 2.61s	remaining: 10.7s
196:	test: 0.9491725	best: 0.9491725 (196)	total: 2.62s	remaining: 10.7s
197:	test: 0.9491947	best: 0.9491947 (197)	total: 2.63s	remaining: 10.7s
198:	test: 0.9492053	best: 0.9492053 (198)	total: 2.65s	remaining: 10.6s
