76:	test: 0.9477948	best: 0.9477948 (76)	total: 456ms	remaining: 5.47s
77:	test: 0.9478232	best: 0.9478232 (77)	total: 462ms	remaining: 5.46s
78:	test: 0.9478669	best: 0.9478669 (78)	total: 468ms	remaining: 5.45s
79:	test: 0.9478910	best: 0.9478910 (79)	total: 473ms	remaining: 5.44s
80:	test: 0.9479078	best: 0.9479078 (80)	total: 478ms	remaining: 5.42s
81:	test: 0.9479546	best: 0.9479546 (81)	total: 484ms	remaining: 5.42s
82:	test: 0.9479886	best: 0.9479886 (82)	total: 490ms	remaining: 5.41s
83:	test: 0.9480210	best: 0.9480210 (83)	total: 495ms	remaining: 5.4s
84:	test: 0.9480301	best: 0.9480301 (84)	total: 501ms	remaining: 5.39s
85:	test: 0.9480592	best: 0.9480592 (85)	total: 510ms	remaining: 5.42s
86:	test: 0.9480860	best: 0.9480860 (86)	total: 518ms	remaining: 5.43s
87:	test: 0.9481016	best: 0.9481016 (87)	total: 523ms	remaining: 5.42s
88:	test: 0.9481225	best: 0.9481225 (88)	total: 530ms	remaining: 5.42s
89:	test: 0.9481490	best: 0.9481490 (89)	total: 535ms	remaining: 5.41s
90:	test: 0.9481490	best: 0.9481490 (90)	total: 539ms	remaining: 5.38s
91:	test: 0.9481696	best: 0.9481696 (91)	total: 544ms	remaining: 5.37s
92:	test: 0.9482076	best: 0.9482076 (92)	total: 550ms	remaining: 5.36s
93:	test: 0.9482210	best: 0.9482210 (93)	total: 556ms	remaining: 5.36s
94:	test: 0.9482401	best: 0.9482401 (94)	total: 561ms	remaining: 5.35s
95:	test: 0.9482654	best: 0.9482654 (95)	total: 567ms	remaining: 5.34s
96:	test: 0.9482804	best: 0.9482804 (96)	total: 572ms	remaining: 5.33s
97:	test: 0.9483328	best: 0.9483328 (97)	total: 578ms	remaining: 5.32s
98:	test: 0.9483454	best: 0.9483454 (98)	total: 584ms	remaining: 5.32s
99:	test: 0.9483667	best: 0.9483667 (99)	total: 590ms	remaining: 5.31s
100:	test: 0.9483770	best: 0.9483770 (100)	total: 596ms	remaining: 5.3s
101:	test: 0.9483767	best: 0.9483770 (100)	total: 601ms	remaining: 5.29s
102:	test: 0.9483790	best: 0.9483790 (102)	total: 606ms	remaining: 5.28s
103:	test: 0.9483862	best: 0.9483862 (103)	total: 612ms	remaining: 5.27s
104:	test: 0.9484000	best: 0.9484000 (104)	total: 618ms	remaining: 5.27s
105:	test: 0.9483992	best: 0.9484000 (104)	total: 624ms	remaining: 5.26s
106:	test: 0.9484040	best: 0.9484040 (106)	total: 629ms	remaining: 5.25s
107:	test: 0.9484040	best: 0.9484040 (107)	total: 633ms	remaining: 5.23s
108:	test: 0.9484195	best: 0.9484195 (108)	total: 639ms	remaining: 5.22s
109:	test: 0.9484317	best: 0.9484317 (109)	total: 646ms	remaining: 5.23s
110:	test: 0.9484603	best: 0.9484603 (110)	total: 652ms	remaining: 5.22s
111:	test: 0.9484605	best: 0.9484605 (111)	total: 657ms	remaining: 5.21s
112:	test: 0.9484723	best: 0.9484723 (112)	total: 663ms	remaining: 5.21s
113:	test: 0.9484845	best: 0.9484845 (113)	total: 668ms	remaining: 5.19s
114:	test: 0.9484845	best: 0.9484845 (114)	total: 673ms	remaining: 5.18s
115:	test: 0.9485081	best: 0.9485081 (115)	total: 678ms	remaining: 5.17s
116:	test: 0.9485255	best: 0.9485255 (116)	total: 682ms	remaining: 5.15s
117:	test: 0.9485581	best: 0.9485581 (117)	total: 688ms	remaining: 5.14s
