iter	Passed	Remaining
794	3920	1010
795	3925	1005
796	3929	1000
797	3933	995
798	3938	990
799	3942	985
800	3947	980
801	3952	975
802	3958	971
803	3964	966
804	3970	961
805	3975	956
806	3981	952
807	3985	947
808	3990	942
809	3995	937
810	3999	932
811	4004	927
812	4012	922
813	4016	917
814	4023	913
815	4028	908
816	4032	903
817	4037	898
818	4043	893
819	4048	888
820	4053	883
821	4059	879
822	4063	874
823	4069	869
824	4074	864
825	4080	859
826	4085	854
827	4091	849
828	4098	845
829	4103	840
830	4107	835
831	4112	830
832	4116	825
833	4121	820
834	4126	815
835	4130	810
836	4134	805
837	4140	800
838	4145	795
839	4150	790
840	4154	785
841	4161	780
842	4166	775
843	4172	771
844	4176	766
845	4184	761
846	4189	756
847	4195	751
848	4200	747
849	4205	742
850	4210	737
851	4215	732
852	4220	727
853	4224	722
854	4228	717
855	4233	712
856	4238	707
857	4244	702
858	4249	697
859	4255	692
860	4261	687
861	4266	682
862	4271	678
863	4275	673
864	4280	667
865	4284	663
866	4289	658
867	4295	653
868	4300	648
869	4306	643
870	4310	638
871	4318	633
872	4323	628
873	4328	624
874	4332	618
875	4339	614
876	4343	609
877	4349	604
878	4354	599
879	4360	594
880	4365	589
881	4372	584
882	4377	580
883	4382	575
884	4388	570
885	4392	565
886	4397	560
887	4402	555
888	4407	550
889	4411	545
890	4416	540
891	4421	535
892	4428	530
893	4435	525
894	4440	520
895	4445	515
896	4449	510
897	4457	506
898	4462	501
899	4467	496
900	4472	491
901	4477	486
902	4481	481
903	4488	476
904	4492	471
905	4498	466
906	4503	461
907	4510	456
908	4517	452
909	4521	447
910	4528	442
911	4533	437
912	4539	432
913	4543	427
914	4549	422
915	4553	417
916	4558	412
917	4563	407
918	4567	402
919	4571	397
920	4576	392
921	4581	387
922	4586	382
923	4591	377
924	4597	372
925	4602	367
926	4608	362
927	4614	357
928	4619	353
929	4624	348
930	4628	343
931	4632	337
932	4638	333
933	4642	328
934	4647	323
935	4651	318
936	4656	313
937	4661	308
938	4667	303
939	4672	298
940	4678	293
941	4682	288
942	4697	283
943	4704	279
944	4712	274
945	4717	269
946	4722	264
947	4726	259
948	4732	254
949	4738	249
950	4745	244
951	4751	239
952	4756	234
953	4765	229
954	4775	225
955	4781	220
956	4786	215
957	4791	210
958	4795	205
959	4800	200
960	4804	194
961	4810	190
962	4815	185
963	4821	180
964	4828	175
965	4833	170
966	4838	165
967	4843	160
968	4848	155
969	4852	150
970	4857	145
971	4862	140
972	4867	135
973	4872	130
974	4877	125
975	4881	120
976	4886	115
977	4890	110
978	4895	105
979	4899	99
980	4904	94
981	4908	89
982	4912	84
983	4919	79
984	4923	74
985	4928	69
986	4932	64
987	4937	59
988	4942	54
989	4947	49
990	4951	44
991	4957	39
992	4961	34
993	4966	29
994	4970	24
995	4975	19
996	4979	14
997	4983	9
998	4987	4
999	4992	0
