76:	test: 0.9445876	best: 0.9445876 (76)	total: 1.37s	remaining: 16.5s
77:	test: 0.9446677	best: 0.9446677 (77)	total: 1.39s	remaining: 16.4s
78:	test: 0.9447290	best: 0.9447290 (78)	total: 1.41s	remaining: 16.4s
79:	test: 0.9447551	best: 0.9447551 (79)	total: 1.42s	remaining: 16.4s
80:	test: 0.9448195	best: 0.9448195 (80)	total: 1.44s	remaining: 16.3s
81:	test: 0.9448402	best: 0.9448402 (81)	total: 1.46s	remaining: 16.3s
82:	test: 0.9448709	best: 0.9448709 (82)	total: 1.48s	remaining: 16.3s
83:	test: 0.9448859	best: 0.9448859 (83)	total: 1.49s	remaining: 16.3s
84:	test: 0.9449459	best: 0.9449459 (84)	total: 1.51s	remaining: 16.2s
85:	test: 0.9450059	best: 0.9450059 (85)	total: 1.52s	remaining: 16.2s
86:	test: 0.9450420	best: 0.9450420 (86)	total: 1.53s	remaining: 16.1s
87:	test: 0.9450540	best: 0.9450540 (87)	total: 1.55s	remaining: 16.1s
88:	test: 0.9450425	best: 0.9450540 (87)	total: 1.55s	remaining: 15.9s
89:	test: 0.9451004	best: 0.9451004 (89)	total: 1.57s	remaining: 15.8s
90:	test: 0.9451217	best: 0.9451217 (90)	total: 1.58s	remaining: 15.8s
91:	test: 0.9451899	best: 0.9451899 (91)	total: 1.59s	remaining: 15.7s
92:	test: 0.9452130	best: 0.9452130 (92)	total: 1.6s	remaining: 15.6s
93:	test: 0.9452690	best: 0.9452690 (93)	total: 1.62s	remaining: 15.6s
94:	test: 0.9452945	best: 0.9452945 (94)	total: 1.63s	remaining: 15.5s
95:	test: 0.9453287	best: 0.9453287 (95)	total: 1.64s	remaining: 15.5s
96:	test: 0.9453527	best: 0.9453527 (96)	total: 1.66s	remaining: 15.4s
97:	test: 0.9453854	best: 0.9453854 (97)	total: 1.67s	remaining: 15.4s
98:	test: 0.9454447	best: 0.9454447 (98)	total: 1.68s	remaining: 15.3s
99:	test: 0.9454671	best: 0.9454671 (99)	total: 1.7s	remaining: 15.3s
100:	test: 0.9455142	best: 0.9455142 (100)	total: 1.71s	remaining: 15.3s
101:	test: 0.9455413	best: 0.9455413 (101)	total: 1.73s	remaining: 15.2s
102:	test: 0.9455869	best: 0.9455869 (102)	total: 1.74s	remaining: 15.2s
103:	test: 0.9456276	best: 0.9456276 (103)	total: 1.76s	remaining: 15.2s
104:	test: 0.9456631	best: 0.9456631 (104)	total: 1.77s	remaining: 15.1s
105:	test: 0.9456927	best: 0.9456927 (105)	total: 1.79s	remaining: 15.1s
106:	test: 0.9457341	best: 0.9457341 (106)	total: 1.8s	remaining: 15.1s
107:	test: 0.9457582	best: 0.9457582 (107)	total: 1.82s	remaining: 15s
108:	test: 0.9458046	best: 0.9458046 (108)	total: 1.83s	remaining: 15s
109:	test: 0.9458187	best: 0.9458187 (109)	total: 1.85s	remaining: 14.9s
110:	test: 0.9458786	best: 0.9458786 (110)	total: 1.86s	remaining: 14.9s
111:	test: 0.9459154	best: 0.9459154 (111)	total: 1.87s	remaining: 14.9s
112:	test: 0.9459282	best: 0.9459282 (112)	total: 1.89s	remaining: 14.8s
113:	test: 0.9459529	best: 0.9459529 (113)	total: 1.9s	remaining: 14.7s
114:	test: 0.9459953	best: 0.9459953 (114)	total: 1.91s	remaining: 14.7s
115:	test: 0.9460221	best: 0.9460221 (115)	total: 1.93s	remaining: 14.7s
116:	test: 0.9460385	best: 0.9460385 (116)	total: 1.94s	remaining: 14.6s
117:	test: 0.9460474	best: 0.9460474 (117)	total: 1.95s	remaining: 14.6s
118:	test: 0.9460604	best: 0.9460604 (118)	total: 1.97s	remaining: 14.6s
119:	test: 0.9460841	best: 0.9460841 (119)	total: 1.98s	remaining: 14.5s
120:	test: 0.9461165	best: 0.9461165 (120)	total: 2s	remaining: 14.5s
121:	test: 0.9461348	best: 0.9461348 (121)	total: 2.02s	remaining: 14.5s
122:	test: 0.9461551	best: 0.9461551 (122)	total: 2.03s	remaining: 14.5s
123:	test: 0.9461768	best: 0.9461768 (123)	total: 2.04s	remaining: 14.4s
124:	test: 0.9461977	best: 0.9461977 (124)	total: 2.06s	remaining: 14.4s
