75:	test: 0.9457401	best: 0.9457417 (74)	total: 460ms	remaining: 5.59s
76:	test: 0.9457681	best: 0.9457681 (76)	total: 464ms	remaining: 5.56s
77:	test: 0.9457703	best: 0.9457703 (77)	total: 469ms	remaining: 5.55s
78:	test: 0.9458182	best: 0.9458182 (78)	total: 475ms	remaining: 5.54s
79:	test: 0.9458186	best: 0.9458186 (79)	total: 480ms	remaining: 5.52s
80:	test: 0.9458815	best: 0.9458815 (80)	total: 485ms	remaining: 5.5s
81:	test: 0.9458815	best: 0.9458815 (81)	total: 489ms	remaining: 5.47s
82:	test: 0.9459282	best: 0.9459282 (82)	total: 494ms	remaining: 5.45s
83:	test: 0.9459947	best: 0.9459947 (83)	total: 499ms	remaining: 5.44s
84:	test: 0.9460037	best: 0.9460037 (84)	total: 504ms	remaining: 5.43s
85:	test: 0.9460055	best: 0.9460055 (85)	total: 510ms	remaining: 5.42s
86:	test: 0.9460059	best: 0.9460059 (86)	total: 515ms	remaining: 5.41s
87:	test: 0.9460105	best: 0.9460105 (87)	total: 521ms	remaining: 5.4s
88:	test: 0.9460228	best: 0.9460228 (88)	total: 526ms	remaining: 5.38s
89:	test: 0.9460340	best: 0.9460340 (89)	total: 530ms	remaining: 5.36s
90:	test: 0.9460456	best: 0.9460456 (90)	total: 536ms	remaining: 5.36s
91:	test: 0.9460552	best: 0.9460552 (91)	total: 542ms	remaining: 5.35s
92:	test: 0.9460695	best: 0.9460695 (92)	total: 549ms	remaining: 5.35s
93:	test: 0.9460804	best: 0.9460804 (93)	total: 554ms	remaining: 5.34s
94:	test: 0.9460955	best: 0.9460955 (94)	total: 559ms	remaining: 5.32s
95:	test: 0.9460955	best: 0.9460955 (95)	total: 563ms	remaining: 5.3s
96:	test: 0.9461304	best: 0.9461304 (96)	total: 568ms	remaining: 5.29s
97:	test: 0.9461374	best: 0.9461374 (97)	total: 573ms	remaining: 5.28s
98:	test: 0.9461380	best: 0.9461380 (98)	total: 578ms	remaining: 5.26s
99:	test: 0.9461380	best: 0.9461380 (99)	total: 582ms	remaining: 5.24s
100:	test: 0.9461488	best: 0.9461488 (100)	total: 587ms	remaining: 5.22s
101:	test: 0.9461669	best: 0.9461669 (101)	total: 592ms	remaining: 5.21s
102:	test: 0.9462143	best: 0.9462143 (102)	total: 598ms	remaining: 5.2s
103:	test: 0.9462465	best: 0.9462465 (103)	total: 603ms	remaining: 5.19s
