75:	test: 0.9248565	best: 0.9248565 (75)	total: 213ms	remaining: 2.58s
76:	test: 0.9250305	best: 0.9250305 (76)	total: 215ms	remaining: 2.58s
77:	test: 0.9251379	best: 0.9251379 (77)	total: 217ms	remaining: 2.57s
78:	test: 0.9252810	best: 0.9252810 (78)	total: 219ms	remaining: 2.55s
79:	test: 0.9252699	best: 0.9252810 (78)	total: 221ms	remaining: 2.54s
80:	test: 0.9252852	best: 0.9252852 (80)	total: 223ms	remaining: 2.53s
81:	test: 0.9252642	best: 0.9252852 (80)	total: 226ms	remaining: 2.52s
82:	test: 0.9253788	best: 0.9253788 (82)	total: 228ms	remaining: 2.52s
83:	test: 0.9254242	best: 0.9254242 (83)	total: 230ms	remaining: 2.51s
84:	test: 0.9255156	best: 0.9255156 (84)	total: 232ms	remaining: 2.5s
85:	test: 0.9256604	best: 0.9256604 (85)	total: 234ms	remaining: 2.49s
86:	test: 0.9256355	best: 0.9256604 (85)	total: 237ms	remaining: 2.48s
87:	test: 0.9256302	best: 0.9256604 (85)	total: 239ms	remaining: 2.48s
88:	test: 0.9256544	best: 0.9256604 (85)	total: 241ms	remaining: 2.47s
89:	test: 0.9257039	best: 0.9257039 (89)	total: 243ms	remaining: 2.46s
90:	test: 0.9258450	best: 0.9258450 (90)	total: 245ms	remaining: 2.45s
91:	test: 0.9259703	best: 0.9259703 (91)	total: 248ms	remaining: 2.44s
92:	test: 0.9260475	best: 0.9260475 (92)	total: 251ms	remaining: 2.45s
93:	test: 0.9261309	best: 0.9261309 (93)	total: 253ms	remaining: 2.44s
94:	test: 0.9262861	best: 0.9262861 (94)	total: 255ms	remaining: 2.43s
95:	test: 0.9262923	best: 0.9262923 (95)	total: 257ms	remaining: 2.42s
96:	test: 0.9264287	best: 0.9264287 (96)	total: 260ms	remaining: 2.42s
97:	test: 0.9264544	best: 0.9264544 (97)	total: 262ms	remaining: 2.41s
98:	test: 0.9264927	best: 0.9264927 (98)	total: 264ms	remaining: 2.4s
99:	test: 0.9266027	best: 0.9266027 (99)	total: 266ms	remaining: 2.4s
100:	test: 0.9266463	best: 0.9266463 (100)	total: 269ms	remaining: 2.4s
101:	test: 0.9267287	best: 0.9267287 (101)	total: 271ms	remaining: 2.38s
102:	test: 0.9268758	best: 0.9268758 (102)	total: 273ms	remaining: 2.38s
103:	test: 0.9269621	best: 0.9269621 (103)	total: 275ms	remaining: 2.37s
104:	test: 0.9270304	best: 0.9270304 (104)	total: 278ms	remaining: 2.37s
105:	test: 0.9270702	best: 0.9270702 (105)	total: 279ms	remaining: 2.36s
106:	test: 0.9271256	best: 0.9271256 (106)	total: 281ms	remaining: 2.35s
107:	test: 0.9272515	best: 0.9272515 (107)	total: 284ms	remaining: 2.34s
108:	test: 0.9272504	best: 0.9272515 (107)	total: 286ms	remaining: 2.34s
109:	test: 0.9272552	best: 0.9272552 (109)	total: 288ms	remaining: 2.33s
110:	test: 0.9274312	best: 0.9274312 (110)	total: 291ms	remaining: 2.33s
111:	test: 0.9275769	best: 0.9275769 (111)	total: 293ms	remaining: 2.32s
112:	test: 0.9277085	best: 0.9277085 (112)	total: 295ms	remaining: 2.31s
113:	test: 0.9278329	best: 0.9278329 (113)	total: 297ms	remaining: 2.31s
114:	test: 0.9278140	best: 0.9278329 (113)	total: 300ms	remaining: 2.31s
115:	test: 0.9278396	best: 0.9278396 (115)	total: 302ms	remaining: 2.3s
116:	test: 0.9279142	best: 0.9279142 (116)	total: 304ms	remaining: 2.29s
117:	test: 0.9280202	best: 0.9280202 (117)	total: 306ms	remaining: 2.29s
118:	test: 0.9280955	best: 0.9280955 (118)	total: 308ms	remaining: 2.28s
119:	test: 0.9282315	best: 0.9282315 (119)	total: 311ms	remaining: 2.28s
120:	test: 0.9282109	best: 0.9282315 (119)	total: 313ms	remaining: 2.27s
121:	test: 0.9282762	best: 0.9282762 (121)	total: 315ms	remaining: 2.26s
122:	test: 0.9283160	best: 0.9283160 (122)	total: 316ms	remaining: 2.25s
123:	test: 0.9284079	best: 0.9284079 (123)	total: 319ms	remaining: 2.25s
124:	test: 0.9285086	best: 0.9285086 (124)	total: 321ms	remaining: 2.25s
125:	test: 0.9285074	best: 0.9285086 (124)	total: 323ms	remaining: 2.24s
126:	test: 0.9285268	best: 0.9285268 (126)	total: 325ms	remaining: 2.23s
127:	test: 0.9286680	best: 0.9286680 (127)	total: 327ms	remaining: 2.23s
128:	test: 0.9287518	best: 0.9287518 (128)	total: 329ms	remaining: 2.22s
129:	test: 0.9288355	best: 0.9288355 (129)	total: 332ms	remaining: 2.22s
130:	test: 0.9288679	best: 0.9288679 (130)	total: 334ms	remaining: 2.22s
131:	test: 0.9289209	best: 0.9289209 (131)	total: 336ms	remaining: 2.21s
132:	test: 0.9289454	best: 0.9289454 (132)	total: 338ms	remaining: 2.2s
133:	test: 0.9289520	best: 0.9289520 (133)	total: 340ms	remaining: 2.2s
134:	test: 0.9289876	best: 0.9289876 (134)	total: 342ms	remaining: 2.19s
135:	test: 0.9291068	best: 0.9291068 (135)	total: 344ms	remaining: 2.19s
136:	test: 0.9290906	best: 0.9291068 (135)	total: 346ms	remaining: 2.18s
137:	test: 0.9290961	best: 0.9291068 (135)	total: 348ms	remaining: 2.17s
138:	test: 0.9290991	best: 0.9291068 (135)	total: 350ms	remaining: 2.17s
139:	test: 0.9291422	best: 0.9291422 (139)	total: 352ms	remaining: 2.16s
140:	test: 0.9291707	best: 0.9291707 (140)	total: 354ms	remaining: 2.15s
141:	test: 0.9291673	best: 0.9291707 (140)	total: 356ms	remaining: 2.15s
142:	test: 0.9292888	best: 0.9292888 (142)	total: 358ms	remaining: 2.14s
143:	test: 0.9293096	best: 0.9293096 (143)	total: 360ms	remaining: 2.14s
144:	test: 0.9294350	best: 0.9294350 (144)	total: 362ms	remaining: 2.13s
145:	test: 0.9294560	best: 0.9294560 (145)	total: 364ms	remaining: 2.13s
146:	test: 0.9294919	best: 0.9294919 (146)	total: 366ms	remaining: 2.13s
147:	test: 0.9295106	best: 0.9295106 (147)	total: 369ms	remaining: 2.12s
148:	test: 0.9295629	best: 0.9295629 (148)	total: 371ms	remaining: 2.12s
149:	test: 0.9295661	best: 0.9295661 (149)	total: 373ms	remaining: 2.11s
150:	test: 0.9296506	best: 0.9296506 (150)	total: 375ms	remaining: 2.11s
151:	test: 0.9296810	best: 0.9296810 (151)	total: 377ms	remaining: 2.1s
152:	test: 0.9296666	best: 0.9296810 (151)	total: 379ms	remaining: 2.1s
153:	test: 0.9297259	best: 0.9297259 (153)	total: 381ms	remaining: 2.09s
154:	test: 0.9297230	best: 0.9297259 (153)	total: 383ms	remaining: 2.09s
155:	test: 0.9297314	best: 0.9297314 (155)	total: 385ms	remaining: 2.08s
156:	test: 0.9297698	best: 0.9297698 (156)	total: 388ms	remaining: 2.08s
157:	test: 0.9297675	best: 0.9297698 (156)	total: 390ms	remaining: 2.08s
158:	test: 0.9297867	best: 0.9297867 (158)	total: 392ms	remaining: 2.08s
159:	test: 0.9298285	best: 0.9298285 (159)	total: 394ms	remaining: 2.07s
160:	test: 0.9298396	best: 0.9298396 (160)	total: 396ms	remaining: 2.06s
161:	test: 0.9298691	best: 0.9298691 (161)	total: 398ms	remaining: 2.06s
162:	test: 0.9299292	best: 0.9299292 (162)	total: 401ms	remaining: 2.06s
163:	test: 0.9299826	best: 0.9299826 (163)	total: 403ms	remaining: 2.05s
164:	test: 0.9299933	best: 0.9299933 (164)	total: 405ms	remaining: 2.05s
165:	test: 0.9300199	best: 0.9300199 (165)	total: 407ms	remaining: 2.04s
166:	test: 0.9300665	best: 0.9300665 (166)	total: 409ms	remaining: 2.04s
