75:	test: 0.9419654	best: 0.9419654 (75)	total: 381ms	remaining: 4.63s
76:	test: 0.9420122	best: 0.9420122 (76)	total: 384ms	remaining: 4.6s
77:	test: 0.9420572	best: 0.9420572 (77)	total: 387ms	remaining: 4.58s
78:	test: 0.9421246	best: 0.9421246 (78)	total: 391ms	remaining: 4.56s
79:	test: 0.9421297	best: 0.9421297 (79)	total: 395ms	remaining: 4.54s
80:	test: 0.9421813	best: 0.9421813 (80)	total: 398ms	remaining: 4.51s
81:	test: 0.9422165	best: 0.9422165 (81)	total: 401ms	remaining: 4.49s
82:	test: 0.9422435	best: 0.9422435 (82)	total: 404ms	remaining: 4.47s
83:	test: 0.9423049	best: 0.9423049 (83)	total: 408ms	remaining: 4.45s
84:	test: 0.9423259	best: 0.9423259 (84)	total: 411ms	remaining: 4.42s
85:	test: 0.9423988	best: 0.9423988 (85)	total: 415ms	remaining: 4.41s
86:	test: 0.9424393	best: 0.9424393 (86)	total: 418ms	remaining: 4.39s
87:	test: 0.9424432	best: 0.9424432 (87)	total: 422ms	remaining: 4.37s
88:	test: 0.9424594	best: 0.9424594 (88)	total: 425ms	remaining: 4.35s
89:	test: 0.9425060	best: 0.9425060 (89)	total: 428ms	remaining: 4.33s
90:	test: 0.9425513	best: 0.9425513 (90)	total: 432ms	remaining: 4.31s
91:	test: 0.9426201	best: 0.9426201 (91)	total: 435ms	remaining: 4.29s
92:	test: 0.9426600	best: 0.9426600 (92)	total: 438ms	remaining: 4.28s
93:	test: 0.9426881	best: 0.9426881 (93)	total: 443ms	remaining: 4.27s
94:	test: 0.9427343	best: 0.9427343 (94)	total: 446ms	remaining: 4.25s
95:	test: 0.9427353	best: 0.9427353 (95)	total: 449ms	remaining: 4.23s
96:	test: 0.9427540	best: 0.9427540 (96)	total: 453ms	remaining: 4.22s
97:	test: 0.9427933	best: 0.9427933 (97)	total: 457ms	remaining: 4.2s
98:	test: 0.9428006	best: 0.9428006 (98)	total: 460ms	remaining: 4.18s
99:	test: 0.9428283	best: 0.9428283 (99)	total: 464ms	remaining: 4.17s
100:	test: 0.9428667	best: 0.9428667 (100)	total: 467ms	remaining: 4.16s
101:	test: 0.9429970	best: 0.9429970 (101)	total: 470ms	remaining: 4.14s
102:	test: 0.9430112	best: 0.9430112 (102)	total: 473ms	remaining: 4.12s
103:	test: 0.9430465	best: 0.9430465 (103)	total: 477ms	remaining: 4.11s
104:	test: 0.9430794	best: 0.9430794 (104)	total: 481ms	remaining: 4.1s
105:	test: 0.9430796	best: 0.9430796 (105)	total: 484ms	remaining: 4.08s
106:	test: 0.9431226	best: 0.9431226 (106)	total: 487ms	remaining: 4.06s
107:	test: 0.9431225	best: 0.9431226 (106)	total: 491ms	remaining: 4.06s
108:	test: 0.9431327	best: 0.9431327 (108)	total: 495ms	remaining: 4.04s
109:	test: 0.9431435	best: 0.9431435 (109)	total: 498ms	remaining: 4.03s
110:	test: 0.9431631	best: 0.9431631 (110)	total: 501ms	remaining: 4.01s
111:	test: 0.9432035	best: 0.9432035 (111)	total: 505ms	remaining: 4s
112:	test: 0.9432358	best: 0.9432358 (112)	total: 508ms	remaining: 3.99s
113:	test: 0.9432273	best: 0.9432358 (112)	total: 511ms	remaining: 3.97s
114:	test: 0.9432274	best: 0.9432358 (112)	total: 515ms	remaining: 3.96s
115:	test: 0.9432274	best: 0.9432358 (112)	total: 518ms	remaining: 3.95s
116:	test: 0.9432496	best: 0.9432496 (116)	total: 521ms	remaining: 3.93s
117:	test: 0.9432738	best: 0.9432738 (117)	total: 525ms	remaining: 3.92s
118:	test: 0.9432972	best: 0.9432972 (118)	total: 529ms	remaining: 3.92s
119:	test: 0.9432982	best: 0.9432982 (119)	total: 533ms	remaining: 3.91s
120:	test: 0.9432982	best: 0.9432982 (119)	total: 537ms	remaining: 3.9s
121:	test: 0.9432982	best: 0.9432982 (121)	total: 540ms	remaining: 3.89s
122:	test: 0.9432982	best: 0.9432982 (121)	total: 544ms	remaining: 3.88s
123:	test: 0.9432982	best: 0.9432982 (121)	total: 547ms	remaining: 3.86s
124:	test: 0.9433258	best: 0.9433258 (124)	total: 551ms	remaining: 3.85s
125:	test: 0.9433581	best: 0.9433581 (125)	total: 554ms	remaining: 3.84s
126:	test: 0.9433581	best: 0.9433581 (125)	total: 557ms	remaining: 3.83s
127:	test: 0.9433581	best: 0.9433581 (127)	total: 560ms	remaining: 3.81s
128:	test: 0.9434447	best: 0.9434447 (128)	total: 563ms	remaining: 3.8s
129:	test: 0.9434582	best: 0.9434582 (129)	total: 567ms	remaining: 3.8s
130:	test: 0.9434704	best: 0.9434704 (130)	total: 570ms	remaining: 3.78s
131:	test: 0.9435484	best: 0.9435484 (131)	total: 573ms	remaining: 3.77s
132:	test: 0.9435484	best: 0.9435484 (131)	total: 577ms	remaining: 3.76s
133:	test: 0.9435732	best: 0.9435732 (133)	total: 580ms	remaining: 3.75s
134:	test: 0.9435978	best: 0.9435978 (134)	total: 583ms	remaining: 3.74s
135:	test: 0.9435856	best: 0.9435978 (134)	total: 587ms	remaining: 3.73s
136:	test: 0.9435856	best: 0.9435978 (134)	total: 590ms	remaining: 3.72s
137:	test: 0.9435795	best: 0.9435978 (134)	total: 594ms	remaining: 3.71s
138:	test: 0.9435962	best: 0.9435978 (134)	total: 597ms	remaining: 3.7s
139:	test: 0.9436144	best: 0.9436144 (139)	total: 601ms	remaining: 3.69s
140:	test: 0.9436143	best: 0.9436144 (139)	total: 604ms	remaining: 3.68s
141:	test: 0.9436482	best: 0.9436482 (141)	total: 608ms	remaining: 3.67s
142:	test: 0.9436575	best: 0.9436575 (142)	total: 612ms	remaining: 3.67s
143:	test: 0.9436690	best: 0.9436690 (143)	total: 615ms	remaining: 3.65s
144:	test: 0.9436690	best: 0.9436690 (143)	total: 618ms	remaining: 3.64s
145:	test: 0.9436690	best: 0.9436690 (143)	total: 621ms	remaining: 3.63s
146:	test: 0.9436694	best: 0.9436694 (146)	total: 625ms	remaining: 3.62s
147:	test: 0.9436694	best: 0.9436694 (146)	total: 628ms	remaining: 3.61s
148:	test: 0.9436694	best: 0.9436694 (146)	total: 631ms	remaining: 3.6s
149:	test: 0.9436693	best: 0.9436694 (146)	total: 634ms	remaining: 3.59s
150:	test: 0.9436896	best: 0.9436896 (150)	total: 638ms	remaining: 3.59s
151:	test: 0.9437019	best: 0.9437019 (151)	total: 641ms	remaining: 3.58s
152:	test: 0.9437019	best: 0.9437019 (151)	total: 644ms	remaining: 3.56s
153:	test: 0.9437230	best: 0.9437230 (153)	total: 648ms	remaining: 3.56s
154:	test: 0.9437230	best: 0.9437230 (153)	total: 651ms	remaining: 3.55s
155:	test: 0.9437232	best: 0.9437232 (155)	total: 654ms	remaining: 3.54s
156:	test: 0.9437232	best: 0.9437232 (155)	total: 658ms	remaining: 3.53s
157:	test: 0.9437271	best: 0.9437271 (157)	total: 661ms	remaining: 3.52s
158:	test: 0.9437271	best: 0.9437271 (157)	total: 665ms	remaining: 3.52s
159:	test: 0.9437271	best: 0.9437271 (157)	total: 668ms	remaining: 3.5s
160:	test: 0.9437272	best: 0.9437272 (160)	total: 671ms	remaining: 3.5s
161:	test: 0.9437271	best: 0.9437272 (160)	total: 675ms	remaining: 3.49s
162:	test: 0.9437655	best: 0.9437655 (162)	total: 679ms	remaining: 3.48s
163:	test: 0.9437743	best: 0.9437743 (163)	total: 683ms	remaining: 3.48s
164:	test: 0.9437743	best: 0.9437743 (163)	total: 686ms	remaining: 3.47s
165:	test: 0.9437743	best: 0.9437743 (163)	total: 690ms	remaining: 3.46s
166:	test: 0.9437744	best: 0.9437744 (166)	total: 692ms	remaining: 3.45s
167:	test: 0.9437742	best: 0.9437744 (166)	total: 696ms	remaining: 3.44s
168:	test: 0.9437811	best: 0.9437811 (168)	total: 699ms	remaining: 3.44s
169:	test: 0.9437810	best: 0.9437811 (168)	total: 702ms	remaining: 3.43s
170:	test: 0.9437810	best: 0.9437811 (168)	total: 706ms	remaining: 3.42s
171:	test: 0.9437811	best: 0.9437811 (171)	total: 709ms	remaining: 3.42s
172:	test: 0.9437924	best: 0.9437924 (172)	total: 713ms	remaining: 3.41s
173:	test: 0.9437925	best: 0.9437925 (173)	total: 716ms	remaining: 3.4s
174:	test: 0.9438072	best: 0.9438072 (174)	total: 720ms	remaining: 3.39s
175:	test: 0.9438317	best: 0.9438317 (175)	total: 723ms	remaining: 3.39s
176:	test: 0.9438317	best: 0.9438317 (175)	total: 726ms	remaining: 3.38s
177:	test: 0.9438411	best: 0.9438411 (177)	total: 729ms	remaining: 3.37s
178:	test: 0.9438745	best: 0.9438745 (178)	total: 733ms	remaining: 3.36s
179:	test: 0.9438753	best: 0.9438753 (179)	total: 736ms	remaining: 3.35s
180:	test: 0.9438753	best: 0.9438753 (179)	total: 739ms	remaining: 3.34s
181:	test: 0.9438753	best: 0.9438753 (179)	total: 742ms	remaining: 3.33s
182:	test: 0.9438753	best: 0.9438753 (182)	total: 745ms	remaining: 3.33s
183:	test: 0.9438754	best: 0.9438754 (183)	total: 748ms	remaining: 3.32s
184:	test: 0.9438754	best: 0.9438754 (183)	total: 751ms	remaining: 3.31s
185:	test: 0.9438836	best: 0.9438836 (185)	total: 755ms	remaining: 3.3s
186:	test: 0.9438836	best: 0.9438836 (185)	total: 758ms	remaining: 3.3s
187:	test: 0.9438836	best: 0.9438836 (185)	total: 762ms	remaining: 3.29s
188:	test: 0.9438836	best: 0.9438836 (185)	total: 764ms	remaining: 3.28s
189:	test: 0.9438835	best: 0.9438836 (185)	total: 768ms	remaining: 3.27s
190:	test: 0.9438835	best: 0.9438836 (185)	total: 771ms	remaining: 3.27s
191:	test: 0.9438835	best: 0.9438836 (185)	total: 774ms	remaining: 3.25s
192:	test: 0.9438835	best: 0.9438836 (185)	total: 776ms	remaining: 3.25s
193:	test: 0.9439048	best: 0.9439048 (193)	total: 780ms	remaining: 3.24s
194:	test: 0.9439048	best: 0.9439048 (193)	total: 783ms	remaining: 3.23s
195:	test: 0.9439048	best: 0.9439048 (193)	total: 786ms	remaining: 3.22s
196:	test: 0.9439015	best: 0.9439048 (193)	total: 789ms	remaining: 3.21s
197:	test: 0.9439015	best: 0.9439048 (193)	total: 793ms	remaining: 3.21s
198:	test: 0.9439015	best: 0.9439048 (193)	total: 795ms	remaining: 3.2s
199:	test: 0.9439117	best: 0.9439117 (199)	total: 798ms	remaining: 3.19s
200:	test: 0.9439115	best: 0.9439117 (199)	total: 802ms	remaining: 3.19s
201:	test: 0.9439115	best: 0.9439117 (199)	total: 806ms	remaining: 3.18s
202:	test: 0.9439115	best: 0.9439117 (199)	total: 808ms	remaining: 3.17s
203:	test: 0.9439115	best: 0.9439117 (199)	total: 812ms	remaining: 3.17s
204:	test: 0.9439116	best: 0.9439117 (199)	total: 816ms	remaining: 3.16s
205:	test: 0.9439337	best: 0.9439337 (205)	total: 819ms	remaining: 3.16s
206:	test: 0.9439337	best: 0.9439337 (205)	total: 822ms	remaining: 3.15s
207:	test: 0.9439338	best: 0.9439338 (207)	total: 825ms	remaining: 3.14s
208:	test: 0.9439506	best: 0.9439506 (208)	total: 829ms	remaining: 3.13s
209:	test: 0.9439506	best: 0.9439506 (208)	total: 831ms	remaining: 3.13s
210:	test: 0.9439504	best: 0.9439506 (208)	total: 834ms	remaining: 3.12s
211:	test: 0.9439504	best: 0.9439506 (208)	total: 837ms	remaining: 3.11s
212:	test: 0.9439505	best: 0.9439506 (208)	total: 841ms	remaining: 3.11s
213:	test: 0.9439531	best: 0.9439531 (213)	total: 844ms	remaining: 3.1s
214:	test: 0.9439531	best: 0.9439531 (213)	total: 847ms	remaining: 3.09s
215:	test: 0.9439531	best: 0.9439531 (213)	total: 850ms	remaining: 3.09s
216:	test: 0.9439531	best: 0.9439531 (216)	total: 854ms	remaining: 3.08s
217:	test: 0.9439532	best: 0.9439532 (217)	total: 857ms	remaining: 3.07s
218:	test: 0.9439532	best: 0.9439532 (217)	total: 860ms	remaining: 3.07s
219:	test: 0.9439532	best: 0.9439532 (217)	total: 863ms	remaining: 3.06s
