76:	test: 0.9470598	best: 0.9470598 (76)	total: 764ms	remaining: 9.15s
77:	test: 0.9470703	best: 0.9470703 (77)	total: 768ms	remaining: 9.08s
78:	test: 0.9470709	best: 0.9470709 (78)	total: 779ms	remaining: 9.08s
79:	test: 0.9471008	best: 0.9471008 (79)	total: 790ms	remaining: 9.08s
80:	test: 0.9471006	best: 0.9471008 (79)	total: 793ms	remaining: 9s
81:	test: 0.9471009	best: 0.9471009 (81)	total: 797ms	remaining: 8.92s
82:	test: 0.9471112	best: 0.9471112 (82)	total: 807ms	remaining: 8.92s
83:	test: 0.9471188	best: 0.9471188 (83)	total: 812ms	remaining: 8.86s
84:	test: 0.9471188	best: 0.9471188 (83)	total: 815ms	remaining: 8.78s
85:	test: 0.9471449	best: 0.9471449 (85)	total: 821ms	remaining: 8.72s
86:	test: 0.9471449	best: 0.9471449 (86)	total: 827ms	remaining: 8.68s
87:	test: 0.9471641	best: 0.9471641 (87)	total: 837ms	remaining: 8.67s
88:	test: 0.9471797	best: 0.9471797 (88)	total: 847ms	remaining: 8.66s
89:	test: 0.9472187	best: 0.9472187 (89)	total: 857ms	remaining: 8.66s
90:	test: 0.9472187	best: 0.9472187 (90)	total: 860ms	remaining: 8.59s
91:	test: 0.9472210	best: 0.9472210 (91)	total: 871ms	remaining: 8.59s
92:	test: 0.9472210	best: 0.9472210 (91)	total: 875ms	remaining: 8.53s
93:	test: 0.9472209	best: 0.9472210 (91)	total: 879ms	remaining: 8.47s
94:	test: 0.9472207	best: 0.9472210 (91)	total: 889ms	remaining: 8.46s
95:	test: 0.9472411	best: 0.9472411 (95)	total: 899ms	remaining: 8.46s
96:	test: 0.9472411	best: 0.9472411 (95)	total: 902ms	remaining: 8.4s
97:	test: 0.9472440	best: 0.9472440 (97)	total: 913ms	remaining: 8.4s
98:	test: 0.9472441	best: 0.9472441 (98)	total: 923ms	remaining: 8.39s
99:	test: 0.9472441	best: 0.9472441 (98)	total: 928ms	remaining: 8.35s
100:	test: 0.9472497	best: 0.9472497 (100)	total: 938ms	remaining: 8.35s
101:	test: 0.9473010	best: 0.9473010 (101)	total: 949ms	remaining: 8.36s
102:	test: 0.9473009	best: 0.9473010 (101)	total: 953ms	remaining: 8.3s
103:	test: 0.9473009	best: 0.9473010 (101)	total: 956ms	remaining: 8.24s
104:	test: 0.9473010	best: 0.9473010 (104)	total: 960ms	remaining: 8.19s
105:	test: 0.9473005	best: 0.9473010 (104)	total: 972ms	remaining: 8.2s
106:	test: 0.9473162	best: 0.9473162 (106)	total: 983ms	remaining: 8.2s
107:	test: 0.9473414	best: 0.9473414 (107)	total: 993ms	remaining: 8.2s
108:	test: 0.9473494	best: 0.9473494 (108)	total: 1s	remaining: 8.2s
109:	test: 0.9473492	best: 0.9473494 (108)	total: 1.01s	remaining: 8.15s
110:	test: 0.9473518	best: 0.9473518 (110)	total: 1.01s	remaining: 8.11s
111:	test: 0.9473525	best: 0.9473525 (111)	total: 1.02s	remaining: 8.11s
112:	test: 0.9473523	best: 0.9473525 (111)	total: 1.03s	remaining: 8.06s
113:	test: 0.9473621	best: 0.9473621 (113)	total: 1.04s	remaining: 8.05s
114:	test: 0.9473769	best: 0.9473769 (114)	total: 1.05s	remaining: 8.06s
115:	test: 0.9473838	best: 0.9473838 (115)	total: 1.05s	remaining: 8.03s
116:	test: 0.9474064	best: 0.9474064 (116)	total: 1.06s	remaining: 8.02s
117:	test: 0.9474119	best: 0.9474119 (117)	total: 1.07s	remaining: 7.99s
118:	test: 0.9474191	best: 0.9474191 (118)	total: 1.08s	remaining: 7.99s
119:	test: 0.9474370	best: 0.9474370 (119)	total: 1.09s	remaining: 7.99s
120:	test: 0.9474370	best: 0.9474370 (120)	total: 1.09s	remaining: 7.94s
121:	test: 0.9474426	best: 0.9474426 (121)	total: 1.1s	remaining: 7.94s
122:	test: 0.9474426	best: 0.9474426 (122)	total: 1.11s	remaining: 7.89s
123:	test: 0.9474451	best: 0.9474451 (123)	total: 1.12s	remaining: 7.89s
124:	test: 0.9474463	best: 0.9474463 (124)	total: 1.13s	remaining: 7.89s
125:	test: 0.9474627	best: 0.9474627 (125)	total: 1.13s	remaining: 7.85s
