75:	test: 0.9449001	best: 0.9449001 (75)	total: 455ms	remaining: 5.53s
76:	test: 0.9449323	best: 0.9449323 (76)	total: 459ms	remaining: 5.5s
77:	test: 0.9449942	best: 0.9449942 (77)	total: 465ms	remaining: 5.49s
78:	test: 0.9450232	best: 0.9450232 (78)	total: 470ms	remaining: 5.48s
79:	test: 0.9450449	best: 0.9450449 (79)	total: 476ms	remaining: 5.47s
80:	test: 0.9450677	best: 0.9450677 (80)	total: 480ms	remaining: 5.45s
81:	test: 0.9451364	best: 0.9451364 (81)	total: 485ms	remaining: 5.42s
82:	test: 0.9451856	best: 0.9451856 (82)	total: 489ms	remaining: 5.41s
83:	test: 0.9452520	best: 0.9452520 (83)	total: 494ms	remaining: 5.39s
84:	test: 0.9452610	best: 0.9452610 (84)	total: 499ms	remaining: 5.37s
85:	test: 0.9452822	best: 0.9452822 (85)	total: 504ms	remaining: 5.35s
86:	test: 0.9452961	best: 0.9452961 (86)	total: 508ms	remaining: 5.33s
87:	test: 0.9453103	best: 0.9453103 (87)	total: 514ms	remaining: 5.33s
88:	test: 0.9453521	best: 0.9453521 (88)	total: 519ms	remaining: 5.32s
89:	test: 0.9454041	best: 0.9454041 (89)	total: 524ms	remaining: 5.29s
90:	test: 0.9454207	best: 0.9454207 (90)	total: 529ms	remaining: 5.29s
91:	test: 0.9454413	best: 0.9454413 (91)	total: 534ms	remaining: 5.27s
92:	test: 0.9454564	best: 0.9454564 (92)	total: 540ms	remaining: 5.27s
93:	test: 0.9454913	best: 0.9454913 (93)	total: 547ms	remaining: 5.27s
94:	test: 0.9455070	best: 0.9455070 (94)	total: 552ms	remaining: 5.25s
95:	test: 0.9455286	best: 0.9455286 (95)	total: 558ms	remaining: 5.25s
96:	test: 0.9455529	best: 0.9455529 (96)	total: 563ms	remaining: 5.24s
97:	test: 0.9455670	best: 0.9455670 (97)	total: 568ms	remaining: 5.23s
98:	test: 0.9455803	best: 0.9455803 (98)	total: 573ms	remaining: 5.21s
99:	test: 0.9456414	best: 0.9456414 (99)	total: 578ms	remaining: 5.2s
100:	test: 0.9456734	best: 0.9456734 (100)	total: 583ms	remaining: 5.19s
101:	test: 0.9456929	best: 0.9456929 (101)	total: 587ms	remaining: 5.17s
102:	test: 0.9457041	best: 0.9457041 (102)	total: 591ms	remaining: 5.15s
103:	test: 0.9457138	best: 0.9457138 (103)	total: 596ms	remaining: 5.13s
104:	test: 0.9457247	best: 0.9457247 (104)	total: 601ms	remaining: 5.12s
105:	test: 0.9457247	best: 0.9457247 (104)	total: 606ms	remaining: 5.11s
106:	test: 0.9457470	best: 0.9457470 (106)	total: 612ms	remaining: 5.11s
107:	test: 0.9457550	best: 0.9457550 (107)	total: 618ms	remaining: 5.11s
108:	test: 0.9457990	best: 0.9457990 (108)	total: 624ms	remaining: 5.1s
109:	test: 0.9457991	best: 0.9457991 (109)	total: 629ms	remaining: 5.09s
