75:	test: 0.9471486	best: 0.9471486 (74)	total: 408ms	remaining: 4.96s
76:	test: 0.9471486	best: 0.9471486 (74)	total: 411ms	remaining: 4.93s
77:	test: 0.9471483	best: 0.9471486 (74)	total: 415ms	remaining: 4.91s
78:	test: 0.9471606	best: 0.9471606 (78)	total: 420ms	remaining: 4.9s
79:	test: 0.9471824	best: 0.9471824 (79)	total: 424ms	remaining: 4.88s
80:	test: 0.9472097	best: 0.9472097 (80)	total: 428ms	remaining: 4.86s
81:	test: 0.9472098	best: 0.9472098 (81)	total: 432ms	remaining: 4.84s
82:	test: 0.9472283	best: 0.9472283 (82)	total: 437ms	remaining: 4.83s
83:	test: 0.9472284	best: 0.9472284 (83)	total: 440ms	remaining: 4.8s
84:	test: 0.9472401	best: 0.9472401 (84)	total: 445ms	remaining: 4.79s
85:	test: 0.9472401	best: 0.9472401 (84)	total: 449ms	remaining: 4.78s
86:	test: 0.9472428	best: 0.9472428 (86)	total: 454ms	remaining: 4.76s
87:	test: 0.9472426	best: 0.9472428 (86)	total: 457ms	remaining: 4.74s
88:	test: 0.9472533	best: 0.9472533 (88)	total: 462ms	remaining: 4.73s
89:	test: 0.9472533	best: 0.9472533 (88)	total: 465ms	remaining: 4.7s
90:	test: 0.9472533	best: 0.9472533 (88)	total: 469ms	remaining: 4.68s
91:	test: 0.9472737	best: 0.9472737 (91)	total: 473ms	remaining: 4.67s
92:	test: 0.9472708	best: 0.9472737 (91)	total: 477ms	remaining: 4.65s
93:	test: 0.9472708	best: 0.9472737 (91)	total: 480ms	remaining: 4.63s
94:	test: 0.9472710	best: 0.9472737 (91)	total: 485ms	remaining: 4.62s
95:	test: 0.9472708	best: 0.9472737 (91)	total: 488ms	remaining: 4.6s
96:	test: 0.9472708	best: 0.9472737 (91)	total: 492ms	remaining: 4.58s
97:	test: 0.9472829	best: 0.9472829 (97)	total: 497ms	remaining: 4.57s
98:	test: 0.9472828	best: 0.9472829 (97)	total: 501ms	remaining: 4.55s
99:	test: 0.9473391	best: 0.9473391 (99)	total: 505ms	remaining: 4.54s
100:	test: 0.9473391	best: 0.9473391 (99)	total: 508ms	remaining: 4.52s
101:	test: 0.9473391	best: 0.9473391 (99)	total: 512ms	remaining: 4.51s
102:	test: 0.9473390	best: 0.9473391 (99)	total: 515ms	remaining: 4.49s
103:	test: 0.9473768	best: 0.9473768 (103)	total: 521ms	remaining: 4.49s
104:	test: 0.9473766	best: 0.9473768 (103)	total: 525ms	remaining: 4.48s
105:	test: 0.9473764	best: 0.9473768 (103)	total: 529ms	remaining: 4.46s
106:	test: 0.9473901	best: 0.9473901 (106)	total: 533ms	remaining: 4.45s
107:	test: 0.9474004	best: 0.9474004 (107)	total: 538ms	remaining: 4.44s
108:	test: 0.9474184	best: 0.9474184 (108)	total: 542ms	remaining: 4.43s
109:	test: 0.9474184	best: 0.9474184 (108)	total: 546ms	remaining: 4.42s
110:	test: 0.9474184	best: 0.9474184 (108)	total: 551ms	remaining: 4.41s
111:	test: 0.9474184	best: 0.9474184 (111)	total: 555ms	remaining: 4.4s
112:	test: 0.9474279	best: 0.9474279 (112)	total: 559ms	remaining: 4.39s
113:	test: 0.9474298	best: 0.9474298 (113)	total: 564ms	remaining: 4.38s
114:	test: 0.9474330	best: 0.9474330 (114)	total: 569ms	remaining: 4.38s
115:	test: 0.9474330	best: 0.9474330 (114)	total: 572ms	remaining: 4.36s
116:	test: 0.9474330	best: 0.9474330 (114)	total: 575ms	remaining: 4.34s
117:	test: 0.9474330	best: 0.9474330 (114)	total: 579ms	remaining: 4.33s
118:	test: 0.9474820	best: 0.9474820 (118)	total: 583ms	remaining: 4.32s
119:	test: 0.9474820	best: 0.9474820 (119)	total: 587ms	remaining: 4.31s
120:	test: 0.9475149	best: 0.9475149 (120)	total: 592ms	remaining: 4.3s
121:	test: 0.9475149	best: 0.9475149 (120)	total: 594ms	remaining: 4.28s
122:	test: 0.9475149	best: 0.9475149 (120)	total: 599ms	remaining: 4.27s
123:	test: 0.9475150	best: 0.9475150 (123)	total: 602ms	remaining: 4.25s
124:	test: 0.9475150	best: 0.9475150 (124)	total: 605ms	remaining: 4.24s
125:	test: 0.9475153	best: 0.9475153 (125)	total: 609ms	remaining: 4.22s
126:	test: 0.9475233	best: 0.9475233 (126)	total: 613ms	remaining: 4.22s
127:	test: 0.9475215	best: 0.9475233 (126)	total: 618ms	remaining: 4.21s
128:	test: 0.9475477	best: 0.9475477 (128)	total: 622ms	remaining: 4.2s
129:	test: 0.9475475	best: 0.9475477 (128)	total: 625ms	remaining: 4.18s
130:	test: 0.9475476	best: 0.9475477 (128)	total: 629ms	remaining: 4.17s
131:	test: 0.9475537	best: 0.9475537 (131)	total: 634ms	remaining: 4.17s
132:	test: 0.9475658	best: 0.9475658 (132)	total: 638ms	remaining: 4.16s
133:	test: 0.9475658	best: 0.9475658 (132)	total: 643ms	remaining: 4.15s
134:	test: 0.9475661	best: 0.9475661 (134)	total: 647ms	remaining: 4.14s
135:	test: 0.9475661	best: 0.9475661 (135)	total: 650ms	remaining: 4.13s
136:	test: 0.9475661	best: 0.9475661 (136)	total: 654ms	remaining: 4.12s
137:	test: 0.9475662	best: 0.9475662 (137)	total: 658ms	remaining: 4.11s
138:	test: 0.9475662	best: 0.9475662 (137)	total: 662ms	remaining: 4.1s
139:	test: 0.9475662	best: 0.9475662 (139)	total: 666ms	remaining: 4.09s
140:	test: 0.9475660	best: 0.9475662 (139)	total: 670ms	remaining: 4.08s
141:	test: 0.9475744	best: 0.9475744 (141)	total: 674ms	remaining: 4.07s
142:	test: 0.9475743	best: 0.9475744 (141)	total: 679ms	remaining: 4.07s
143:	test: 0.9475743	best: 0.9475744 (141)	total: 682ms	remaining: 4.05s
144:	test: 0.9475978	best: 0.9475978 (144)	total: 687ms	remaining: 4.05s
145:	test: 0.9475978	best: 0.9475978 (145)	total: 691ms	remaining: 4.04s
146:	test: 0.9475978	best: 0.9475978 (145)	total: 694ms	remaining: 4.03s
147:	test: 0.9475978	best: 0.9475978 (145)	total: 697ms	remaining: 4.01s
148:	test: 0.9475977	best: 0.9475978 (145)	total: 702ms	remaining: 4.01s
149:	test: 0.9475977	best: 0.9475978 (145)	total: 707ms	remaining: 4s
150:	test: 0.9475977	best: 0.9475978 (145)	total: 711ms	remaining: 4s
151:	test: 0.9475976	best: 0.9475978 (145)	total: 715ms	remaining: 3.99s
152:	test: 0.9475977	best: 0.9475978 (145)	total: 719ms	remaining: 3.98s
153:	test: 0.9476016	best: 0.9476016 (153)	total: 723ms	remaining: 3.97s
154:	test: 0.9476016	best: 0.9476016 (153)	total: 727ms	remaining: 3.96s
155:	test: 0.9476073	best: 0.9476073 (155)	total: 731ms	remaining: 3.96s
156:	test: 0.9476144	best: 0.9476144 (156)	total: 735ms	remaining: 3.95s
157:	test: 0.9476567	best: 0.9476567 (157)	total: 740ms	remaining: 3.94s
158:	test: 0.9476567	best: 0.9476567 (157)	total: 743ms	remaining: 3.93s
159:	test: 0.9476567	best: 0.9476567 (159)	total: 747ms	remaining: 3.92s
160:	test: 0.9476567	best: 0.9476567 (160)	total: 750ms	remaining: 3.91s
161:	test: 0.9476560	best: 0.9476567 (160)	total: 755ms	remaining: 3.9s
162:	test: 0.9476706	best: 0.9476706 (162)	total: 759ms	remaining: 3.9s
163:	test: 0.9476706	best: 0.9476706 (162)	total: 762ms	remaining: 3.88s
164:	test: 0.9476706	best: 0.9476706 (164)	total: 767ms	remaining: 3.88s
165:	test: 0.9477106	best: 0.9477106 (165)	total: 771ms	remaining: 3.87s
166:	test: 0.9477105	best: 0.9477106 (165)	total: 774ms	remaining: 3.86s
167:	test: 0.9477104	best: 0.9477106 (165)	total: 778ms	remaining: 3.85s
168:	test: 0.9477105	best: 0.9477106 (165)	total: 782ms	remaining: 3.85s
169:	test: 0.9477179	best: 0.9477179 (169)	total: 786ms	remaining: 3.84s
170:	test: 0.9477353	best: 0.9477353 (170)	total: 790ms	remaining: 3.83s
171:	test: 0.9477354	best: 0.9477354 (171)	total: 795ms	remaining: 3.83s
172:	test: 0.9477354	best: 0.9477354 (171)	total: 798ms	remaining: 3.81s
173:	test: 0.9477354	best: 0.9477354 (171)	total: 801ms	remaining: 3.8s
174:	test: 0.9477354	best: 0.9477354 (171)	total: 806ms	remaining: 3.8s
175:	test: 0.9477425	best: 0.9477425 (175)	total: 810ms	remaining: 3.79s
176:	test: 0.9477425	best: 0.9477425 (176)	total: 814ms	remaining: 3.78s
177:	test: 0.9477425	best: 0.9477425 (176)	total: 818ms	remaining: 3.78s
178:	test: 0.9477425	best: 0.9477425 (176)	total: 821ms	remaining: 3.77s
179:	test: 0.9477836	best: 0.9477836 (179)	total: 825ms	remaining: 3.76s
180:	test: 0.9477930	best: 0.9477930 (180)	total: 830ms	remaining: 3.75s
181:	test: 0.9478142	best: 0.9478142 (181)	total: 835ms	remaining: 3.75s
182:	test: 0.9478142	best: 0.9478142 (181)	total: 838ms	remaining: 3.74s
183:	test: 0.9478645	best: 0.9478645 (183)	total: 842ms	remaining: 3.73s
184:	test: 0.9478645	best: 0.9478645 (184)	total: 846ms	remaining: 3.72s
185:	test: 0.9478900	best: 0.9478900 (185)	total: 850ms	remaining: 3.72s
186:	test: 0.9478900	best: 0.9478900 (185)	total: 853ms	remaining: 3.71s
187:	test: 0.9479266	best: 0.9479266 (187)	total: 858ms	remaining: 3.71s
188:	test: 0.9479266	best: 0.9479266 (187)	total: 861ms	remaining: 3.69s
189:	test: 0.9479568	best: 0.9479568 (189)	total: 865ms	remaining: 3.69s
190:	test: 0.9479569	best: 0.9479569 (190)	total: 870ms	remaining: 3.69s
191:	test: 0.9479569	best: 0.9479569 (190)	total: 873ms	remaining: 3.67s
192:	test: 0.9479569	best: 0.9479569 (190)	total: 876ms	remaining: 3.66s
193:	test: 0.9479568	best: 0.9479569 (190)	total: 879ms	remaining: 3.65s
194:	test: 0.9479589	best: 0.9479589 (194)	total: 884ms	remaining: 3.65s
195:	test: 0.9479895	best: 0.9479895 (195)	total: 888ms	remaining: 3.64s
196:	test: 0.9479895	best: 0.9479895 (195)	total: 892ms	remaining: 3.64s
197:	test: 0.9479924	best: 0.9479924 (197)	total: 896ms	remaining: 3.63s
198:	test: 0.9480054	best: 0.9480054 (198)	total: 901ms	remaining: 3.63s
199:	test: 0.9480221	best: 0.9480221 (199)	total: 906ms	remaining: 3.62s
200:	test: 0.9480276	best: 0.9480276 (200)	total: 910ms	remaining: 3.62s
201:	test: 0.9480276	best: 0.9480276 (200)	total: 914ms	remaining: 3.61s
202:	test: 0.9480276	best: 0.9480276 (200)	total: 918ms	remaining: 3.6s
203:	test: 0.9480276	best: 0.9480276 (200)	total: 922ms	remaining: 3.6s
204:	test: 0.9480269	best: 0.9480276 (200)	total: 926ms	remaining: 3.59s
205:	test: 0.9480267	best: 0.9480276 (200)	total: 931ms	remaining: 3.59s
206:	test: 0.9480298	best: 0.9480298 (206)	total: 935ms	remaining: 3.58s
207:	test: 0.9480227	best: 0.9480298 (206)	total: 940ms	remaining: 3.58s
208:	test: 0.9480227	best: 0.9480298 (206)	total: 944ms	remaining: 3.57s
209:	test: 0.9480227	best: 0.9480298 (206)	total: 947ms	remaining: 3.56s
210:	test: 0.9480489	best: 0.9480489 (210)	total: 952ms	remaining: 3.56s
211:	test: 0.9480490	best: 0.9480490 (211)	total: 957ms	remaining: 3.56s
212:	test: 0.9480490	best: 0.9480490 (211)	total: 962ms	remaining: 3.55s
213:	test: 0.9480490	best: 0.9480490 (211)	total: 966ms	remaining: 3.55s
214:	test: 0.9480671	best: 0.9480671 (214)	total: 972ms	remaining: 3.55s
215:	test: 0.9480669	best: 0.9480671 (214)	total: 976ms	remaining: 3.54s
216:	test: 0.9480808	best: 0.9480808 (216)	total: 981ms	remaining: 3.54s
217:	test: 0.9480808	best: 0.9480808 (217)	total: 985ms	remaining: 3.53s
218:	test: 0.9480808	best: 0.9480808 (217)	total: 989ms	remaining: 3.53s
219:	test: 0.9480808	best: 0.9480808 (219)	total: 994ms	remaining: 3.52s
220:	test: 0.9480839	best: 0.9480839 (220)	total: 998ms	remaining: 3.52s
221:	test: 0.9480839	best: 0.9480839 (220)	total: 1s	remaining: 3.51s
222:	test: 0.9480838	best: 0.9480839 (220)	total: 1s	remaining: 3.5s
223:	test: 0.9480840	best: 0.9480840 (223)	total: 1.01s	remaining: 3.49s
224:	test: 0.9480839	best: 0.9480840 (223)	total: 1.01s	remaining: 3.49s
225:	test: 0.9480941	best: 0.9480941 (225)	total: 1.02s	remaining: 3.49s
226:	test: 0.9480941	best: 0.9480941 (225)	total: 1.02s	remaining: 3.48s
227:	test: 0.9480940	best: 0.9480941 (225)	total: 1.02s	remaining: 3.47s
228:	test: 0.9480890	best: 0.9480941 (225)	total: 1.03s	remaining: 3.47s
229:	test: 0.9480889	best: 0.9480941 (225)	total: 1.03s	remaining: 3.46s
230:	test: 0.9480889	best: 0.9480941 (225)	total: 1.04s	remaining: 3.45s
231:	test: 0.9480889	best: 0.9480941 (225)	total: 1.04s	remaining: 3.44s
232:	test: 0.9481002	best: 0.9481002 (232)	total: 1.04s	remaining: 3.44s
233:	test: 0.9481000	best: 0.9481002 (232)	total: 1.05s	remaining: 3.43s
234:	test: 0.9481000	best: 0.9481002 (232)	total: 1.05s	remaining: 3.42s
235:	test: 0.9481000	best: 0.9481002 (232)	total: 1.06s	remaining: 3.42s
236:	test: 0.9481235	best: 0.9481235 (236)	total: 1.06s	remaining: 3.41s
237:	test: 0.9481235	best: 0.9481235 (236)	total: 1.06s	remaining: 3.41s
238:	test: 0.9481235	best: 0.9481235 (236)	total: 1.07s	remaining: 3.4s
239:	test: 0.9481287	best: 0.9481287 (239)	total: 1.07s	remaining: 3.4s
240:	test: 0.9481287	best: 0.9481287 (239)	total: 1.08s	remaining: 3.39s
241:	test: 0.9481287	best: 0.9481287 (239)	total: 1.08s	remaining: 3.38s
242:	test: 0.9481286	best: 0.9481287 (239)	total: 1.08s	remaining: 3.38s
243:	test: 0.9481285	best: 0.9481287 (239)	total: 1.09s	remaining: 3.37s
244:	test: 0.9481207	best: 0.9481287 (239)	total: 1.09s	remaining: 3.37s
245:	test: 0.9481207	best: 0.9481287 (239)	total: 1.1s	remaining: 3.36s
246:	test: 0.9481206	best: 0.9481287 (239)	total: 1.1s	remaining: 3.35s
247:	test: 0.9481353	best: 0.9481353 (247)	total: 1.1s	remaining: 3.35s
248:	test: 0.9481352	best: 0.9481353 (247)	total: 1.11s	remaining: 3.35s
249:	test: 0.9481352	best: 0.9481353 (247)	total: 1.11s	remaining: 3.34s
250:	test: 0.9481353	best: 0.9481353 (247)	total: 1.12s	remaining: 3.34s
251:	test: 0.9481356	best: 0.9481356 (251)	total: 1.12s	remaining: 3.33s
252:	test: 0.9481356	best: 0.9481356 (251)	total: 1.13s	remaining: 3.33s
253:	test: 0.9481356	best: 0.9481356 (251)	total: 1.13s	remaining: 3.32s
254:	test: 0.9481679	best: 0.9481679 (254)	total: 1.13s	remaining: 3.31s
255:	test: 0.9481678	best: 0.9481679 (254)	total: 1.14s	remaining: 3.31s
256:	test: 0.9481678	best: 0.9481679 (254)	total: 1.14s	remaining: 3.31s
257:	test: 0.9481678	best: 0.9481679 (254)	total: 1.15s	remaining: 3.3s
258:	test: 0.9481678	best: 0.9481679 (254)	total: 1.15s	remaining: 3.3s
259:	test: 0.9481678	best: 0.9481679 (254)	total: 1.16s	remaining: 3.29s
