75:	test: 0.9352722	best: 0.9352722 (75)	total: 292ms	remaining: 3.56s
76:	test: 0.9353296	best: 0.9353296 (76)	total: 295ms	remaining: 3.54s
77:	test: 0.9354461	best: 0.9354461 (77)	total: 299ms	remaining: 3.53s
78:	test: 0.9354563	best: 0.9354563 (78)	total: 302ms	remaining: 3.52s
79:	test: 0.9355084	best: 0.9355084 (79)	total: 305ms	remaining: 3.5s
80:	test: 0.9355924	best: 0.9355924 (80)	total: 307ms	remaining: 3.49s
81:	test: 0.9356847	best: 0.9356847 (81)	total: 311ms	remaining: 3.48s
82:	test: 0.9357009	best: 0.9357009 (82)	total: 314ms	remaining: 3.47s
83:	test: 0.9357990	best: 0.9357990 (83)	total: 317ms	remaining: 3.46s
84:	test: 0.9357997	best: 0.9357997 (84)	total: 320ms	remaining: 3.45s
85:	test: 0.9358008	best: 0.9358008 (85)	total: 325ms	remaining: 3.45s
86:	test: 0.9358006	best: 0.9358008 (85)	total: 328ms	remaining: 3.44s
87:	test: 0.9359894	best: 0.9359894 (87)	total: 331ms	remaining: 3.43s
88:	test: 0.9360795	best: 0.9360795 (88)	total: 334ms	remaining: 3.42s
89:	test: 0.9361663	best: 0.9361663 (89)	total: 337ms	remaining: 3.41s
90:	test: 0.9364211	best: 0.9364211 (90)	total: 340ms	remaining: 3.4s
91:	test: 0.9364191	best: 0.9364211 (90)	total: 343ms	remaining: 3.39s
92:	test: 0.9364208	best: 0.9364211 (90)	total: 347ms	remaining: 3.38s
93:	test: 0.9365166	best: 0.9365166 (93)	total: 350ms	remaining: 3.37s
94:	test: 0.9365870	best: 0.9365870 (94)	total: 353ms	remaining: 3.36s
95:	test: 0.9367446	best: 0.9367446 (95)	total: 356ms	remaining: 3.35s
96:	test: 0.9369893	best: 0.9369893 (96)	total: 360ms	remaining: 3.35s
97:	test: 0.9370022	best: 0.9370022 (97)	total: 363ms	remaining: 3.34s
98:	test: 0.9370023	best: 0.9370023 (98)	total: 366ms	remaining: 3.33s
99:	test: 0.9370239	best: 0.9370239 (99)	total: 370ms	remaining: 3.33s
100:	test: 0.9371321	best: 0.9371321 (100)	total: 373ms	remaining: 3.32s
101:	test: 0.9371306	best: 0.9371321 (100)	total: 376ms	remaining: 3.31s
