# season,period,game-ver,lobby,mode,stage,time,win,knockout,rank,power,alpha-inked,alpha-ink-percent,alpha-count,alpha-color,alpha-theme,bravo-inked,bravo-ink-percent,bravo-count,bravo-color,bravo-theme,A1-weapon,A1-kill-assist,A1-kill,A1-assist,A1-death,A1-special,A1-inked,A1-abilities,A2-weapon,A2-kill-assist,A2-kill,A2-assist,A2-death,A2-special,A2-inked,A2-abilities,A3-weapon,A3-kill-assist,A3-kill,A3-assist,A3-death,A3-special,A3-inked,A3-abilities,A4-weapon,A4-kill-assist,A4-kill,A4-assist,A4-death,A4-special,A4-inked,A4-abilities,B1-weapon,B1-kill-assist,B1-kill,B1-assist,B1-death,B1-special,B1-inked,B1-abilities,B2-weapon,B2-kill-assist,B2-kill,B2-assist,B2-death,B2-special,B2-inked,B2-abilities,B3-weapon,B3-kill-assist,B3-kill,B3-assist,B3-death,B3-special,B3-inked,B3-abilities,B4-weapon,B4-kill-assist,B4-kill,B4-assist,B4-death,B4-special,B4-inked,B4-abilities,medal1-grade,medal1-name,medal2-grade,medal2-name,medal3-grade,medal3-name
Fresh Season 2023,2023-05-24T00:00:00+00:00,3.1.1,bankara_open,yagura,kusaya,65,alpha,TRUE,S+ 1,,,,100,3a0ccdff,,,,0,d0bf08ff,,dynamo,7,3,4,2,1,338,"{""ink_saver_main"":1,""ink_resistance_up"":0.9,""swim_speed_up"":0.9,""ink_recovery_up"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",splatcharger_collabo,4,4,0,1,1,301,"{""quick_super_jump"":2.3,""ink_saver_main"":1,""special_saver"":0.9,""ink_resistance_up"":0.3,""ink_saver_sub"":0.3,""special_charge_up"":0.3,""sub_power_up"":0.3,""sub_resistance_up"":0.3}",pablo,2,2,0,2,1,213,"{""sub_power_up"":1,""ink_recovery_up"":0.3,""intensify_action"":0.3,""quick_respawn"":0.3,""quick_super_jump"":0.3,""run_speed_up"":0.3,""special_power_up"":0.3,""special_saver"":0.3,""drop_roller"":true,""last_ditch_effort"":true}",rapid_deco,5,3,2,1,1,270,"{""special_charge_up"":1.9,""ink_recovery_up"":0.6,""intensify_action"":0.6,""run_speed_up"":0.3,""swim_speed_up"":0.3,""opening_gambit"":true,""thermal_ink"":true}",rapid_deco,2,2,0,3,0,281,"{""intensify_action"":1.9,""ink_saver_main"":1,""swim_speed_up"":1,""ink_saver_sub"":0.9,""special_charge_up"":0.6,""special_saver"":0.3}",rapid_deco,2,2,0,2,0,248,"{""quick_respawn"":1.9,""ink_saver_sub"":1.3,""ink_recovery_up"":0.3,""ink_saver_main"":0.3,""intensify_action"":0.3,""special_saver"":0.3,""swim_speed_up"":0.3,""last_ditch_effort"":true}",squiclean_a,2,2,0,3,0,175,"{""swim_speed_up"":3,""ink_resistance_up"":0.6,""quick_super_jump"":0.6,""ink_saver_sub"":0.3,""run_speed_up"":0.3,""sub_resistance_up"":0.3}",52gal,1,0,1,4,0,196,"{""ink_recovery_up"":1.3,""intensify_action"":0.9,""ink_saver_main"":0.6,""swim_speed_up"":0.3,""ninja_squid"":true,""stealth_jump"":true}",gold,#1 Overall Splatter,gold,#1 Splat Assister,gold,#1 Turf Inker
Fresh Season 2023,2023-05-24T00:00:00+00:00,3.1.1,bankara_open,yagura,mahimahi,182,bravo,TRUE,S+ 0,,,,0,cd510aff,,,,100,6e04b6ff,,h3reelgun,6,5,1,10,1,578,"{""quick_respawn"":2.8,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""swim_speed_up"":0.3,""opening_gambit"":true,""stealth_jump"":true}",h3reelgun,10,10,0,7,2,647,"{""quick_respawn"":3.4,""quick_super_jump"":0.3,""comeback"":true,""stealth_jump"":true}",h3reelgun,6,2,4,6,2,426,"{""swim_speed_up"":1.6,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""ink_saver_main"":0.3,""quick_super_jump"":0.3,""run_speed_up"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",hissen_hue,5,3,2,8,1,558,"{""swim_speed_up"":2.9,""run_speed_up"":0.9,""ink_recovery_up"":0.3,""special_power_up"":0.3,""special_saver"":0.3,""ninja_squid"":true}",nautilus47,14,9,5,8,2,648,"{""special_charge_up"":1.3,""ink_recovery_up"":1,""sub_resistance_up"":1,""ink_saver_main"":0.6,""ink_saver_sub"":0.6,""run_speed_up"":0.6,""ink_resistance_up"":0.3,""special_saver"":0.3}",splatroller,13,9,4,5,3,595,"{""ink_recovery_up"":1,""quick_respawn"":1,""ink_saver_main"":0.9,""ink_saver_sub"":0.9,""swim_speed_up"":0.9,""ninja_squid"":true}",longblaster,11,9,2,4,3,511,"{""run_speed_up"":3.9,""special_saver"":0.3}",screwslosher,8,3,5,4,3,661,"{""ink_resistance_up"":1.9,""ink_saver_main"":1.9,""special_charge_up"":1.9}",silver,#2 Overall Splatter,silver,#1 Damage Taker,silver,First Splat!
Fresh Season 2023,2023-05-24T00:00:00+00:00,3.1.1,bankara_open,yagura,mahimahi,300,alpha,FALSE,S+ 6,,,,79,2cb822ff,,,,67,c12d74ff,,splatscope_collabo,13,13,0,3,6,1152,"{""ink_saver_main"":1.3,""ink_recovery_up"":1,""special_charge_up"":0.6,""sub_power_up"":0.6,""swim_speed_up"":0.6,""run_speed_up"":0.3,""special_power_up"":0.3,""tenacity"":true}",rapid_elite,19,8,11,6,4,914,"{""ink_saver_main"":1.6,""swim_speed_up"":1,""run_speed_up"":0.6,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""ink_saver_sub"":0.3,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""last_ditch_effort"":true}",screwslosher,13,8,5,8,5,1472,"{""special_charge_up"":1,""ink_resistance_up"":0.9,""run_speed_up"":0.6,""ink_saver_sub"":0.3,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""swim_speed_up"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",variableroller,18,10,8,8,6,1251,"{""special_charge_up"":2.6,""ink_saver_main"":2.1,""special_saver"":1}",clashblaster,17,13,4,10,4,1028,"{""ink_saver_main"":1.6,""swim_speed_up"":1.2,""quick_super_jump"":0.6,""special_power_up"":0.3,""ninja_squid"":true,""stealth_jump"":true}",prime_collabo,4,2,2,8,4,1407,"{""ink_saver_sub"":1,""quick_respawn"":1,""intensify_action"":0.6,""special_power_up"":0.6,""ink_recovery_up"":0.3,""special_saver"":0.3,""sub_power_up"":0.3,""last_ditch_effort"":true}",carbon_deco,6,6,0,11,5,927,"{""ink_saver_main"":1.9,""quick_respawn"":1,""ink_recovery_up"":0.9,""ink_saver_sub"":0.9,""drop_roller"":true}",parashelter,6,3,3,11,5,1365,"{""ink_recovery_up"":1,""ink_saver_sub"":1,""run_speed_up"":0.6,""ink_resistance_up"":0.3,""ink_saver_main"":0.3,""quick_respawn"":0.3,""special_charge_up"":0.3,""special_power_up"":0.3,""thermal_ink"":true}",gold,#1 Enemy Splatter,gold,#1 Popular Target,gold,#1 Score Booster
Fresh Season 2023,2023-05-24T00:00:00+00:00,3.1.1,xmatch,area,mategai,216,alpha,TRUE,,1874.9,,,100,cd510aff,,,,0,6e04b6ff,,variableroller,8,8,0,2,3,1040,"{""swim_speed_up"":1.9,""special_charge_up"":0.6,""special_power_up"":0.6,""ink_resistance_up"":0.3,""ink_saver_main"":0.3,""last_ditch_effort"":true,""ninja_squid"":true}",sharp_neo,9,8,1,6,3,1152,"{""swim_speed_up"":1.3,""quick_respawn"":0.6,""quick_super_jump"":0.6,""ink_resistance_up"":0.3,""ink_saver_sub"":0.3,""special_charge_up"":0.3,""sub_resistance_up"":0.3,""ninja_squid"":true,""stealth_jump"":true}",nova,10,7,3,5,0,731,"{""swim_speed_up"":1.6,""ink_saver_sub"":1.3,""ink_recovery_up"":0.6,""ink_resistance_up"":0.3,""run_speed_up"":0.3,""special_power_up"":0.3,""ninja_squid"":true}",furo,8,4,4,6,3,1020,"{""run_speed_up"":1.2,""special_power_up"":1.2,""ink_resistance_up"":1,""sub_resistance_up"":1,""special_saver"":0.6,""haunt"":true}",hissen_hue,9,8,1,9,3,783,"{""swim_speed_up"":1,""quick_respawn"":0.9,""ink_resistance_up"":0.6,""sub_resistance_up"":0.6,""quick_super_jump"":0.3,""special_saver"":0.3,""comeback"":true,""stealth_jump"":true}",explosher,5,3,2,5,4,1074,"{""ink_saver_main"":2.6,""swim_speed_up"":1.6,""special_charge_up"":0.9,""ink_recovery_up"":0.3,""run_speed_up"":0.3}",campingshelter,5,4,1,5,3,946,"{""swim_speed_up"":1,""ink_recovery_up"":0.6,""ink_resistance_up"":0.6,""run_speed_up"":0.6,""special_saver"":0.6,""special_power_up"":0.3,""haunt"":true,""last_ditch_effort"":true}",bold,4,4,0,8,3,938,"{""swim_speed_up"":1.2,""run_speed_up"":0.6,""sub_resistance_up"":0.6,""ink_resistance_up"":0.3,""comeback"":true,""ninja_squid"":true,""stealth_jump"":true}",gold,#1 Enemy Splatter,silver,#1 Damage Taker,silver,#1 Tenta Missiles User
Fresh Season 2023,2023-05-24T00:00:00+00:00,3.1.1,bankara_open,yagura,mahimahi,219,alpha,TRUE,S+ 1,,,,100,cfb121ff,,,,0,9025c6ff,,dynamo,10,5,5,8,2,852,"{""ink_saver_main"":1,""ink_resistance_up"":0.9,""swim_speed_up"":0.9,""ink_recovery_up"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",carbon_deco,13,10,3,5,3,622,"{""swim_speed_up"":1.6,""sub_power_up"":1.3,""ink_saver_sub"":0.6,""run_speed_up"":0.6,""special_charge_up"":0.6,""ninja_squid"":true}",rapid_deco,8,7,1,6,3,824,"{""special_charge_up"":1.9,""ink_recovery_up"":0.6,""intensify_action"":0.6,""run_speed_up"":0.3,""swim_speed_up"":0.3,""opening_gambit"":true,""thermal_ink"":true}",splatcharger_collabo,5,5,0,8,2,673,"{""quick_super_jump"":2.3,""ink_saver_main"":1,""special_saver"":0.9,""ink_resistance_up"":0.3,""ink_saver_sub"":0.3,""special_charge_up"":0.3,""sub_power_up"":0.3,""sub_resistance_up"":0.3}",liter4k,16,13,3,2,4,874,"{""ink_saver_main"":3.8,""ink_saver_sub"":0.3,""intensify_action"":0.3,""quick_respawn"":0.3,""object_shredder"":true}",spygadget,3,0,3,10,0,557,"{""ink_recovery_up"":1.3,""ink_saver_sub"":1.3,""run_speed_up"":1,""special_saver"":0.6,""ink_resistance_up"":0.3,""ink_saver_main"":0.3,""special_power_up"":0.3,""sub_power_up"":0.3,""sub_resistance_up"":0.3,""swim_speed_up"":0.3}",wakaba,8,6,2,6,2,883,"{""sub_power_up"":1.3,""special_charge_up"":1,""swim_speed_up"":0.9,""ink_recovery_up"":0.6,""ink_saver_sub"":0.6,""special_saver"":0.3,""ninja_squid"":true}",sshooter_collabo,7,6,1,9,1,707,"{""quick_super_jump"":1,""ink_saver_sub"":0.9,""special_charge_up"":0.6,""run_speed_up"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""ninja_squid"":true,""stealth_jump"":true}",gold,#1 Splat Assister,gold,#1 Turf Inker,silver,#1 Checkpoint Breaker
Fresh Season 2023,2023-05-24T00:00:00+00:00,3.1.1,regular,nawabari,masaba,180,bravo,,,,3202,29.8,,a0c937ff,,3609,53.2,,ba30b0ff,,kugelschreiber,7,3,4,4,2,731,"{""run_speed_up"":1.9,""ink_recovery_up"":0.6,""special_saver"":0.6,""special_charge_up"":0.3,""swim_speed_up"":0.3,""drop_roller"":true,""last_ditch_effort"":true}",sputtery_hue,8,8,0,4,3,1214,"{""special_power_up"":4.2,""ink_resistance_up"":0.3,""ink_saver_main"":0.3,""swim_speed_up"":0.3}",52gal,7,5,2,6,2,952,"{""ink_resistance_up"":2.2,""quick_super_jump"":1,""sub_power_up"":1,""special_power_up"":0.9,""ink_recovery_up"":0.3,""quick_respawn"":0.3,""special_charge_up"":0.3,""special_saver"":0.3}",campingshelter,0,0,0,5,0,305,"{""ink_saver_main"":1.3,""sub_power_up"":1,""swim_speed_up"":1,""run_speed_up"":0.6,""special_power_up"":0.6,""ink_resistance_up"":0.3,""ink_saver_sub"":0.3,""special_charge_up"":0.3}",promodeler_rg,5,5,0,5,3,1018,"{""run_speed_up"":2.2,""special_saver"":1.3,""special_power_up"":1,""ink_saver_sub"":0.9,""special_charge_up"":0.6,""ink_recovery_up"":0.3}",promodeler_rg,6,3,3,5,3,965,"{""run_speed_up"":1.9,""intensify_action"":1,""sub_power_up"":1,""special_power_up"":0.9,""ink_recovery_up"":0.3,""ink_saver_main"":0.3,""quick_respawn"":0.3}",momiji,8,6,2,2,2,877,"{""quick_respawn"":0.6,""ink_recovery_up"":0.3,""ink_saver_main"":0.3,""ink_saver_sub"":0.3,""run_speed_up"":0.3,""swim_speed_up"":0.3,""ninja_squid"":true,""object_shredder"":true,""opening_gambit"":true}",52gal,4,4,0,4,3,749,"{""intensify_action"":1.9,""ink_saver_main"":1,""quick_respawn"":1,""quick_super_jump"":0.9,""run_speed_up"":0.6,""swim_speed_up"":0.3}",gold,#1 Splat Assister,gold,#1 Super Jump Spot,silver,#2 Overall Splatter
Fresh Season 2023,2023-05-24T00:00:00+00:00,3.1.1,bankara_open,yagura,kusaya,70,alpha,TRUE,S+ 10,,,,100,d0bf08ff,,,,0,3a0ccdff,,screwslosher,3,3,0,1,0,283,"{""run_speed_up"":1,""ink_saver_main"":0.6,""special_charge_up"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""swim_speed_up"":0.3,""ninja_squid"":true,""stealth_jump"":true}",sshooter,5,4,1,0,2,430,"{""quick_respawn"":1.6,""swim_speed_up"":1.5,""intensify_action"":1,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""stealth_jump"":true}",drivewiper,5,2,3,0,1,371,"{""quick_respawn"":2.8,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""comeback"":true,""stealth_jump"":true}",rapid_deco,6,4,2,1,1,266,"{""swim_speed_up"":1.3,""ink_saver_sub"":1,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""intensify_action"":0.3,""quick_respawn"":0.3,""quick_super_jump"":0.3,""special_charge_up"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""stealth_jump"":true}",nova_neo,2,1,1,3,0,209,"{""quick_respawn"":1,""quick_super_jump"":1,""swim_speed_up"":1,""special_saver"":0.6,""ink_saver_main"":0.3}",splatroller,1,1,0,3,0,235,"{""swim_speed_up"":1.5,""sub_power_up"":1,""ninja_squid"":true,""stealth_jump"":true}",nzap85,0,0,0,3,0,285,"{""swim_speed_up"":2.4,""sub_resistance_up"":1,""sub_power_up"":0.3,""ninja_squid"":true,""stealth_jump"":true}",splatcharger_collabo,0,0,0,4,0,181,"{""ink_saver_main"":1.8,""quick_respawn"":1.6,""sub_resistance_up"":1,""sub_power_up"":0.3,""respawn_punisher"":true}",gold,Record-Score Setter,silver,#1 Checkpoint Breaker,gold,#1 Score Booster
Fresh Season 2023,2023-05-24T00:00:00+00:00,3.1.1,bankara_open,yagura,mahimahi,158,bravo,TRUE,S,,,,0,1a1aafff,,,,100,e38d24ff,,furo,4,3,1,8,0,449,"{""ink_saver_sub"":1,""sub_power_up"":1,""ink_saver_main"":0.6,""special_power_up"":0.6,""intensify_action"":0.3,""quick_respawn"":0.3,""run_speed_up"":0.3,""special_charge_up"":0.3,""sub_resistance_up"":0.3,""drop_roller"":true}",sshooter,7,4,3,5,3,613,"{""quick_respawn"":1.3,""special_charge_up"":0.9,""swim_speed_up"":0.6,""ink_saver_sub"":0.3,""run_speed_up"":0.3,""sub_power_up"":0.3,""comeback"":true,""stealth_jump"":true}",nzap89,3,3,0,5,2,672,"{""swim_speed_up"":2.9,""special_power_up"":1.3,""run_speed_up"":0.6,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""special_saver"":0.3}",barrelspinner,3,3,0,5,1,423,"{""run_speed_up"":2.9,""swim_speed_up"":1,""ink_resistance_up"":0.9,""special_power_up"":0.6,""quick_respawn"":0.3}",rapid_elite,6,4,2,3,2,448,"{""quick_super_jump"":1.3,""sub_resistance_up"":1,""quick_respawn"":0.6,""run_speed_up"":0.3,""special_saver"":0.3,""sub_power_up"":0.3,""ninja_squid"":true}",screwslosher,5,5,0,4,3,632,"{""special_saver"":1.3,""intensify_action"":1,""sub_power_up"":1,""ink_saver_main"":0.6,""run_speed_up"":0.6,""sub_resistance_up"":0.3}",splatscope,6,6,0,1,0,537,"{""run_speed_up"":2.9,""ink_saver_main"":2.5,""quick_respawn"":0.3}",splatroller_collabo,6,5,1,5,2,376,"{""special_saver"":3.2,""swim_speed_up"":2.2,""special_charge_up"":0.3}",gold,#1 Popular Target,gold,Record-Score Setter,gold,#1 Score Booster
Fresh Season 2023,2023-05-24T00:00:00+00:00,3.1.1,bankara_open,yagura,mahimahi,95,alpha,TRUE,S+ 10,,,,100,a0c937ff,,,,0,ba30b0ff,,screwslosher,8,6,2,1,2,540,"{""run_speed_up"":1,""ink_saver_main"":0.6,""special_charge_up"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""swim_speed_up"":0.3,""ninja_squid"":true,""stealth_jump"":true}",rapid_deco,8,3,5,1,1,347,"{""swim_speed_up"":1.3,""ink_saver_sub"":1,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""intensify_action"":0.3,""quick_respawn"":0.3,""quick_super_jump"":0.3,""special_charge_up"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""stealth_jump"":true}",sshooter,5,4,1,2,1,407,"{""quick_respawn"":1.6,""swim_speed_up"":1.5,""intensify_action"":1,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""stealth_jump"":true}",drivewiper,2,2,0,4,1,278,"{""quick_respawn"":2.8,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""comeback"":true,""stealth_jump"":true}",quadhopper_black,5,4,1,5,0,349,"{""quick_respawn"":4.4,""quick_super_jump"":0.3,""stealth_jump"":true}",wakaba,1,1,0,4,1,512,"{""ink_saver_sub"":3.2,""sub_power_up"":1,""ink_saver_main"":0.6,""sub_resistance_up"":0.6,""quick_super_jump"":0.3}",jimuwiper,3,1,2,3,1,389,"{""swim_speed_up"":1.6,""ink_recovery_up"":0.6,""quick_respawn"":0.6,""sub_power_up"":0.6,""ink_resistance_up"":0.3,""ninja_squid"":true,""stealth_jump"":true}",bottlegeyser,3,2,1,4,1,272,"{""quick_respawn"":2.5,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""comeback"":true,""stealth_jump"":true}",gold,#1 Overall Splatter,gold,#1 Super Jump Spot,gold,#1 Turf Inker
Fresh Season 2023,2023-05-24T00:00:00+00:00,3.1.1,bankara_open,yagura,mahimahi,62,alpha,TRUE,S+ 2,,,,100,1bbfabff,,,,0,c43a6eff,,hissen_hue,6,4,2,2,1,308,"{""quick_respawn"":1.3,""ink_resistance_up"":0.6,""intensify_action"":0.3,""quick_super_jump"":0.3,""run_speed_up"":0.3,""special_power_up"":0.3,""sub_resistance_up"":0.3,""swim_speed_up"":0.3,""comeback"":true,""stealth_jump"":true}",rapid_deco,6,5,1,0,1,314,"{""quick_respawn"":2.5,""special_saver"":1,""intensify_action"":0.3,""quick_super_jump"":0.3,""special_charge_up"":0.3,""special_power_up"":0.3,""last_ditch_effort"":true}",hydra,1,1,0,2,0,135,"{""ink_saver_sub"":1,""swim_speed_up"":1,""ink_recovery_up"":0.6,""ink_resistance_up"":0.6,""run_speed_up"":0.6,""special_power_up"":0.6,""quick_super_jump"":0.3,""respawn_punisher"":true}",quadhopper_black,1,0,1,1,1,225,"{""quick_respawn"":2.5,""quick_super_jump"":0.6,""ink_resistance_up"":0.3,""sub_resistance_up"":0.3,""haunt"":true,""stealth_jump"":true}",h3reelgun,4,0,4,2,0,252,"{""swim_speed_up"":4.5,""special_charge_up"":0.9,""ink_saver_sub"":0.3}",liter4k_scope,3,3,0,1,0,299,"{""sub_resistance_up"":1,""ink_resistance_up"":0.9,""ink_saver_main"":0.9,""swim_speed_up"":0.9,""object_shredder"":true,""respawn_punisher"":true}",52gal,1,1,0,4,0,164,"{""quick_super_jump"":1.9,""swim_speed_up"":1.9,""ink_resistance_up"":1,""intensify_action"":0.9}",longblaster,1,1,0,3,0,161,"{""ink_saver_main"":1.6,""ink_saver_sub"":1.6,""intensify_action"":1.6,""ink_resistance_up"":0.3,""sub_power_up"":0.3,""sub_resistance_up"":0.3}",gold,#1 Overall Splatter,gold,#1 Splat Assister,gold,Record-Score Setter
Fresh Season 2023,2023-05-24T00:00:00+00:00,3.1.1,regular,nawabari,kinmedai,180,alpha,,,,3242,49.9,,6e04b6ff,,3252,41.7,,cd510aff,,momiji,6,5,1,3,3,885,"{""ink_saver_sub"":2,""ink_saver_main"":1.3,""quick_super_jump"":0.9,""special_power_up"":0.6,""quick_respawn"":0.3,""special_charge_up"":0.3,""sub_resistance_up"":0.3}",bold_neo,2,1,1,3,3,815,"{""sub_power_up"":1.5,""swim_speed_up"":1,""quick_respawn"":0.9,""special_saver"":0.3,""ninja_squid"":true,""stealth_jump"":true}",drivewiper,5,4,1,6,3,794,"{""quick_respawn"":1,""ink_recovery_up"":0.6,""ink_saver_sub"":0.6,""special_saver"":0.6,""special_power_up"":0.3,""sub_resistance_up"":0.3,""last_ditch_effort"":true,""ninja_squid"":true}",splatcharger_collabo,1,1,0,1,3,748,"{""ink_saver_main"":1.6,""special_charge_up"":1.3,""quick_super_jump"":1,""ink_saver_sub"":0.6,""special_saver"":0.6,""ink_resistance_up"":0.3,""sub_power_up"":0.3}",variableroller,4,3,1,4,3,1161,"{""swim_speed_up"":2.5,""ink_saver_main"":1,""run_speed_up"":0.9,""ink_recovery_up"":0.3,""ninja_squid"":true}",drivewiper,3,2,1,4,1,869,"{""ink_saver_main"":1.5,""ink_saver_sub"":0.9,""quick_respawn"":0.3,""drop_roller"":true,""opening_gambit"":true,""respawn_punisher"":true}",rapid_elite,6,4,2,2,3,612,"{""special_charge_up"":1.6,""intensify_action"":1,""quick_respawn"":1,""special_saver"":0.6,""ink_recovery_up"":0.3,""ink_saver_sub"":0.3,""special_power_up"":0.3,""swim_speed_up"":0.3}",jimuwiper,4,4,0,2,2,610,"{""quick_respawn"":2.5,""swim_speed_up"":0.9,""ink_resistance_up"":0.3,""comeback"":true,""stealth_jump"":true}",gold,#1 Overall Splatter,gold,#1 Enemy Splatter,gold,#1 Turf Inker
Fresh Season 2023,2023-05-24T00:00:00+00:00,3.1.1,xmatch,area,chozame,163,alpha,TRUE,,1885.9,,,100,e38d24ff,,,,0,1a1aafff,,variableroller,4,3,1,4,2,738,"{""swim_speed_up"":1.9,""special_charge_up"":0.6,""special_power_up"":0.6,""ink_resistance_up"":0.3,""ink_saver_main"":0.3,""last_ditch_effort"":true,""ninja_squid"":true}",prime_collabo,10,7,3,2,3,752,"{""ink_saver_sub"":1.3,""swim_speed_up"":1,""intensify_action"":0.9,""ink_saver_main"":0.6,""special_charge_up"":0.3,""special_saver"":0.3,""stealth_jump"":true}",splatroller,10,9,1,4,1,557,"{""swim_speed_up"":1.9,""quick_super_jump"":0.9,""ink_recovery_up"":0.6,""quick_respawn"":0.3,""ninja_squid"":true,""stealth_jump"":true}",kelvin525,5,2,3,4,2,637,"{""ink_saver_sub"":1.6,""ink_saver_main"":1,""special_saver"":1,""special_charge_up"":0.9,""quick_respawn"":0.6,""intensify_action"":0.3,""sub_power_up"":0.3}",quadhopper_black,5,3,2,4,2,869,"{""quick_super_jump"":2.2,""quick_respawn"":1.9,""swim_speed_up"":0.6,""ninja_squid"":true}",splatroller,6,6,0,4,2,680,"{""quick_super_jump"":1.9,""swim_speed_up"":0.9,""ink_resistance_up"":0.6,""ink_recovery_up"":0.3,""ninja_squid"":true,""stealth_jump"":true}",sshooter_collabo,4,3,1,6,3,686,"{""quick_respawn"":3.5,""swim_speed_up"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""stealth_jump"":true}",jimuwiper,4,2,2,7,1,608,"{""quick_respawn"":3.5,""sub_power_up"":0.6,""ink_recovery_up"":0.3,""stealth_jump"":true}",silver,#1 Ground Traveler,gold,#1 Popular Target,silver,#2 Splat Zone Inker
Fresh Season 2023,2023-05-24T00:00:00+00:00,3.1.1,regular,nawabari,kinmedai,180,alpha,,,,3112,52.5,,bfcd41ff,,2868,36.5,,6325cdff,,kugelschreiber,4,2,2,2,3,839,"{""run_speed_up"":1.9,""ink_recovery_up"":0.6,""special_saver"":0.6,""special_charge_up"":0.3,""swim_speed_up"":0.3,""drop_roller"":true,""last_ditch_effort"":true}",52gal,5,5,0,5,3,864,"{""intensify_action"":1.9,""ink_saver_main"":1,""quick_respawn"":1,""quick_super_jump"":0.9,""run_speed_up"":0.6,""swim_speed_up"":0.3}",promodeler_rg,4,4,0,5,2,835,"{""run_speed_up"":2.2,""special_saver"":1.3,""special_power_up"":1,""ink_saver_sub"":0.9,""special_charge_up"":0.6,""ink_recovery_up"":0.3}",hokusai,4,4,0,6,0,574,"{""ink_resistance_up"":1,""ink_saver_main"":1,""intensify_action"":0.3,""quick_super_jump"":0.3,""haunt"":true}",sshooter_collabo,9,9,0,8,1,884,"{""ink_resistance_up"":2.2,""quick_super_jump"":1,""sub_power_up"":1,""special_power_up"":0.9,""ink_recovery_up"":0.3,""quick_respawn"":0.3,""special_charge_up"":0.3,""special_saver"":0.3}",momiji,5,5,0,3,3,868,"{""quick_respawn"":0.6,""ink_recovery_up"":0.3,""ink_saver_main"":0.3,""ink_saver_sub"":0.3,""run_speed_up"":0.3,""swim_speed_up"":0.3,""ninja_squid"":true,""object_shredder"":true,""opening_gambit"":true}",promodeler_rg,5,4,1,4,2,862,"{""run_speed_up"":1.9,""intensify_action"":1,""sub_power_up"":1,""special_power_up"":0.9,""ink_recovery_up"":0.3,""ink_saver_main"":0.3,""quick_respawn"":0.3}",h3reelgun,0,0,0,2,0,254,"{""ink_saver_main"":1.3,""sub_power_up"":1,""swim_speed_up"":1,""run_speed_up"":0.6,""special_power_up"":0.6,""ink_resistance_up"":0.3,""ink_saver_sub"":0.3,""special_charge_up"":0.3}",gold,#1 Splat Assister,gold,#1 Super Jump Spot,silver,#1 Base Defender
